# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 讀者文選
[col 02] 其咸煇에展氣가되야暫時氣運를鎖定코고ᄒᆞ는말이아
[col 03] 무엇-내야奔走ᄒᆞ일은업네마는이곳에오고보니
[col 04] 네々들-拘束밧는祝儀을참아볼슈업데그려-그리
[col 05] 一箇月에或은두번慰問次로나와-뵈옵고저ᄒᆞ는디
[col 06] 세그리고오늘特別히온일은여러분의感想을잠간듯
[col 07] 제온것일세?
[col 08] 호고나는밧삭饑餓압헤드러섯다虎君은愀然호일
[col 09] 자못怒氣를쓰여가지고천々히말을내인다
[col 10] 아-그러ᄒᆞᆫ가그러나아지정된놈의게무슨感想
[col 11] 겟나만은君이일부러온길이라니가ᄒᆞᆫ마대말
[col 12] 도ᄒᆞ지안일슈업네-그대는사람이오나는즘성
[col 13] 나가이러케말ᄒᆞ면그대가엇지드를는지알슈업
[col 14] 나나는生覺컨대그대네人類만치惡ᄒᆞ고無理ᄒᆞ고
[col 15] 호動物은업다고ᄒᆞ네?왜그런야ᄒᆞ면그대네는
[col 16] 치우리를보면襲懸호動物이라ᄒᆞ야만나면銃으로
[col 17] 몽동이로ᄯᅢ리고陷阱을파-잡으려ᄒᆞ지만은보통
[col 18] 도無理ᄒᆞᆫ生覺이아닌가우리네가달은動物을잡
[col 19] 게된것은우리네의罪가아니오바로말ᄒᆞ자면우
[col 20] 를創造호신선운님의罪가아닌가자-그대도좀
[col 21] 호야보게그게-우리논인에날카로운齒牙가잇
[col 22] 에날카로운爪鉤가잇게ᄒᆞᆫ것은다-ᄒᆞᆫ우님이우
[col 23] 게주신武器가아닌가우리논이武器가잇는々닥
[col 24] 로써겨우生活ᄒᆞ야가는것이아닌가우리네는元
