# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 夜雷
[col 02] 은가지지못ᄒᆞ엿다
[col 03] 學者는宇宙의法則을信ᄒᆞ며萬物에根底가有ᄒᆞᆫ眞理를
[col 04] 信ᄒᆞ도다假令學者가안일지라도宇宙의根底에惡意
[col 05] 가無ᄒᆞᆫ事宇宙는一夜의中에崩壞치안이ᄒᆞ는事太陽
[col 06] 은明日도또昇來ᄒᆞ는事一等은누구든지確信無疑ᄒᆞᆯ것
[col 07] 이다特히萬物의理에는善意가有ᄒᆞ다信치아니ᄒᆞ면吾
[col 08] 人은一日도安心을保키不能ᄒᆞᆯ것이다思컨대宗敎의信
[col 09] 仰이라云云ᄒᆞ도墨塊一此普通의信仰을更히明白히信ᄒᆞ고
[col 10] 更히有力히威嚴ᄒᆞ는것에不外ᄒᆞᆯ것이다
[col 11] 愛라云ᄒᆞ며仁이라言ᄒᆞ며慈悲라云ᄒᆞ지라도要는宇
[col 12] 宙의根底는善이라ᄒᆞ는信仰이明確히表示된者에不過ᄒᆞ
[col 13] 도다
[col 14] 蓋一人의人되는價値는物을疑竇에在ᄒᆞ다다못太陽의
[col 15] 熱을感應ᄒᆞ므로만은他動物에不過ᄒᆞᆯ것이다人生은一層
[col 16] 太陽의熱을感ᄒᆞ고太陽의原因이何者됨을疑竇에至ᄒᆞ
