# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 夜雷
[col 02] 思ᄒᆞ다云홈이로다故로萬事知는오즉食一碗뿐이라홈은
[col 03] 決코以食爲天의陳言을繰返ᄒᆞ야徒生徒死를意味홈이안
[col 04] 이오人이能히食흐에其食흐는所以의原理를知ᄒᆞ면可
[col 05] 히써大道를覺홈리라一言ᄒᆞ심일자로다
[col 06] 吾人은生ᄒᆞ면서卽히食흐나니故로生은卽食에在ᄒᆞ고
[col 07] 食은卽生키爲홈이라그리ᄒᆞ야人事百般이漸次一食의
[col 08] 一事로부터其發展을開케되엿슴은何人이든지疑치못할
[col 09] 事實이니라
[col 10] 太古有巢의民이木實을食ᄒᆞ다가漸次火食의方을知ᄒᆞ
[col 11] 야百穀을耕種홈에至케됨은是一食이人文의發展을催케
[col 12] 된原始事業이엇도다그리ᄒᆞ야今日人文燦爛ᄒᆞᆫ商工의
[col 13] 時代에까지進展케됨도또한그原因은다못食의一事의發
[col 14] 展을催ᄒᆞᆫ過程이라ᄒᆞ리라萬一今日의世界로부터食一
[col 15] 字의不息을告케되고보라驚天의人工泣神의偉業도
[col 16] 一朝에煙煙凉凉ᄒᆞᆫ秋野荒郊로變코마리라不見ᄒᆞ는가
[col 17] 今日의社會問題勞動問題로時々吾人의耳膜을驚動케
[col 18] 은
[col 19] 야
[col 20] 의
[col 21] 發
[col 22] 一
[col 23] 도
[col 24] 가
[col 25] 케
[col 26] 가
[col 27] 動
