# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 의觀念이업다ᄒᆞ너냐曰否라汝는아즉道를不知ᄒᆞ도
[col 03] 다吾人
[col 04] 盖吾人의生은元來是父母에由ᄒᆞᆫ事는뉘이를모르랴此茶碗은土로써製造ᄒᆞᆫ것이다
[col 05] 論使用키爲ᄒᆞ야製造ᄒᆞᆷ일것이다
[col 06] 然ᄒᆞ면茶碗이라는本體는如何即茶碗이라ᄒᆞᆷ은觀念도안이오土도안이
[col 07] 念이라ᄒᆞᆯ지라도茶碗自身은何等感覺何等思想도업슬것이다
[col 08] 는안이다故로旣히茶碗이라ᄒᆞ면觀念도안이오土도안이
[col 09] 이이슬것이다
[col 10] 世間는七十有餘의元素로붓터成ᄒᆞ엿다世界를解剖ᄒᆞ야海底가浮ᄒᆞ야抑又原素쑨이
[col 11] 것이다하물며桑田이變ᄒᆞ야碧海가되며
[col 12] 깃이나然ᄒᆞ면世界는다못觀念ᄲᅮᆫ이라
[col 13] 念도안이며原素도안이다그리ᄒᆞ야旣히世界의體相이
[col 14] 人은通常肉體及精神으로뭇러成立ᄒᆞ엿다稱ᄒᆞᆫ다佛敎
[col 15] 의肉體는數種의原素가化合ᄒᆞ야父母의因緣에由ᄒᆞ야否라肉과
[col 16] 면人의肉體와精神은別別이存在ᄒᆞᆯ것이나
[col 17] ᄒᆞ物이라ᄒᆞ면人의死ᄒᆞᆯ時精神은何處에든지離치안이
[col 18] 神의存在ᄒᆞᆫ다말ᄒᆞ면其는此와如ᄒᆞ荒漠ᄒᆞᆫ言은信키不能
[col 19] ᄒᆞᆯ지라말ᄒᆞ엿다吾人은此近世의靈跡事實에依ᄒᆞ야
