# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[section] 敎理
[col 02] 念이며一面에서物質과現象이엇다吾人은其契機의實
[col 03] 그리고보면人生은自己ㅣ서저로宇宙를造ᄒᆞ
[col 04] 大工이家屋을建ᄒᆞ고學者가原理를發明ᄒᆞ며農夫가
[col 05] 돈지다自己로世界를造ᄒᆞ는것에不過ᄒᆞ다農夫로見ᄒᆞ
[col 06] 世界일것이라農夫는一見에己以外에客觀界를耕耘ᄒᆞ며
[col 07] 이다自己의智慧를耕耘ᄒᆞ는것이다換言ᄒᆞ면自己로自
[col 08] 其然ᄒᆞ다如斯히論ᄒᆞ면或은主觀에偏依ᄒᆞ는感이有
[col 09] 蓋ㅣ主觀이라ᄒᆞ며客觀이라ᄒᆞ은何이냐此問題는恐
[col 10] 抑主觀客觀이라云ᄒᆞ語는頗히曖昧ᄒᆞ것이라試ᄒᆞ
[col 11] 다
[col 12] 物인임이업다밧긔我의胸中으로붓허客觀的事物을除
[col 13] 地萬物正邪善惡은다갓지我의客觀된과同時에도ᄒᆞ主觀
[col 14] ᄒᆞ수업다我를擴充ᄒᆞ야金宇宙에及ᄒᆞ면金宇宙는實로我
[col 15] 려도我의겻는些少의增減이업슬것이다些少의損益
[col 16] 取ᄒᆞ도업ᄉᆞᆯᄒᆞᆫ이라我를捨ᄒᆞ고ᄒᆞ면我ㅣ如何ᄒᆞᆫ大事業을成ᄒᆞ야一世의豪傑
[col 17] 지히萬象恒常이며落々의滑風明月일ᄯᅡ름이라本然일ᄯᅢ이며一塵一芥ㅣ添ᄒᆞᆯ바업스며榮枯도잇스며一盛一減
[col 18] 그러나我에對ᄒᆞ야는絲毫도ᄒᆞᆫ이안이라吾人은如斯ᄒᆞᆫ人을呼
[col 19] 人은가即恍惚의入이며蓮觀의土이다失望의ᄯᅢ도ᄯᅩᄒᆞᆫ泰然
[col 20] 起,其運에陽踏突起,淡然ᄒᆞ며其動에電光石火,無事에退淡如水
[col 21] 是가即得意의ᄯᅢ도ᄯᅩᄒᆞᆫ
