# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 敎理
[col 02] 念이여
[col 03] 그리고보면
[col 04] 大工이家屋을建ᄒᆞ고
[col 05] 든지다自己로世界를造ᄒᆞ는것에不過ᄒᆞ다
[col 06] 惟界일것이라
[col 07] 이다自己의智慧를辨哲ᄒᆞ는것이다
[col 08] 其然ᄒᆞ다
[col 09] 焉一主觀이라ᄒᆞ며
[col 10] 타抑主觀客觀이락云云ᄒᆞ는語는
[col 11] 物인일뿐이다
[col 12] 盡ᄒᆞ일뿐이다
[col 13] 여도
[col 14] 地에立ᄒᆞ고보면
[col 15] 取ᄒᆞ도되고取ᄒᆞ지안ᄒᆞ여도可ᄒᆞ며捨ᄒᆞ도되고捨ᄒᆞ지
[col 16] 々히萬象恒常이여落々其淵風明月
[col 17] 그러다
[col 18] 是가卽悟道의入이여還觀의士이다
[col 19] 人은得意失意時도妄言妄然ᄒᆞ며
[col 20] 趣,其應也響露突起,其動也電光石火,無事에退淡如水
[col 21] 一面에서物質과現象이잇다
[col 22] 人生은人生一自己로서宇宙를造ᄒᆞ며
[col 23] 學者가原理를發明ᄒᆞ며
[col 24] 農夫로보면
[col 25] 農夫는一見에自己以外에客觀界를耕耘ᄒᆞ고파
[col 26] 換言ᄒᆞ면自己로自
[col 27] 如斯히論ᄒᆞ면
[col 28] 客觀이라ᄒᆞ고或은何이나
[col 29] 반드시我의智中으로反하
[col 30] 我를擴充하야全宇宙에及ᄒᆞ면全宇宙는實로我
[col 31] 我외계는些少의增減이잇슬것이다
[col 32] 我一如何ᄒᆞ야大事業을成ᄒᆞ야一世의豪傑이
[col 33] 안이이라
[col 34] 이뿐이다
[col 35] 我외對ᄒᆞ야는
[col 36] 이다
[col 37] 失望의時도妄言妄然ᄒᆞ다
[col 38] 吾人은其契機의實
[col 39] 農夫가
[col 40] 種ᄒᆞ는
[col 41] 有
[col 42] 此問題는恐
[col 43] 客觀的事物을除
[col 44] 些少의損益
[col 45] 本然일뿐이며
[col 46] 絲毫一毫도바임스어
[col 47] 吾人은如斯意入을呼
[col 48] [?]
