# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理
[col 02] 論學文修德文不然其然으로된것인데
[col 03] 가장適切ᄒᆞᆫ文句를選擇ᄒᆞ야其를總合ᄒᆞ고分解ᄒᆞ야보리
[col 04] 라爲先布德文으로始初를삼아하나々々槪義를描出
[col 05] ᄒᆞ면其劈頭에
[col 06] 盖自上古以來春秋迭代四時盛衰不遷不易是亦天主造
[col 07] 化之跡昭然于天下也(自二頁一行至二行)
[col 08] 自五帝之後聖人以生日月星辰天地度數成出文卷而以
[col 09] 定天道之常然(自一頁三行至五行)
[col 10] 挽近以來一世之人各自爲心不順天理不顧天命心常悚
[col 11] 然莫知所向(自一頁八行至九行)
[col 12] 不意四月에心寒身戰疾不得執症言不得難狀之際有何
[col 13] 仙語忽入耳中驚起探問則曰勿懼勿恐世人謂我上帝汝不
[col 14] 知上帝耶(自二頁二行至四行)
[col 15] 以上은布德文中主要ᄒᆞᆫ節句인데이제其大義를槪述
[col 16] ᄒᆞ건대其全體의精神이完然히宇宙의間에는人格的上帝
[col 17] 가有ᄒᆞᆷ을明示ᄒᆞᆷ과如ᄒᆞ도다卽天主造化의迹이天下에
[col 18] 昭然ᄒᆞ다ᄒᆞᆫ點에서人格的上帝가宇宙를開闢ᄒᆞ고萬
[col 19] 有를造成ᄒᆞᆷ과如ᄒᆞ도다그리ᄒᆞ야自五帝之後聖人以生
[col 20] 이라ᄒᆞᆷ에至ᄒᆞ야는簡單히宇宙進化의過程을明示ᄒᆞ엿고
