# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 敎理
[col 02] 論學文修德文不然其然으로된것인데其中에서
[col 03] 가장適切ᄒᆞᆫ文句를選擇ᄒᆞ야其를總合ᄒᆞ고分解ᄒᆞ야보리
[col 04] 라爲先布德文으로始初를삼아하나々々槪義를描出
[col 05] ᄒᆞ면其劈頭에
[col 06] 蓋自上古以來春夏秋冬四時盛衰不遷不易是亦天主造
[col 07] 化之時昭然于天下也(自一頁一行至二行)
[col 08] 自五帝之後聖人以生日月星辰天地度數成出文券而以
[col 09] 定天道之常然(自一頁三行至五行)
[col 10] 換近以來一世之人各自爲心不順天理不順天命心常悚
[col 11] 然莫知所向(自一頁八行至九行)
[col 12] 不意四月에心寒身戰疾不得執症言不得雜狀之際有何
[col 13] 仙語忽入人耳中驚起探問則曰勿驚勿恐世人謂我上帝汝不
[col 14] 知上帝耶(自二頁一行至四行)
[col 15] 以上은布德文中主要章節인데이게其大義를槪述
[col 16] ᄒᆞᆫ데其全體의精神이完全히宇宙의間에는人格的上帝
[col 17] 가有有함을明示ᄒᆞᆫ것이라如토도다即天主造化의迹이天下에
[col 18] 昭然ᄒᆞᆫ것과같이人格的上帝가宇宙를開闢ᄒᆞ고萬
[col 19] 有를造成ᄒᆞ심과如토도다그리고야自五帝之後聖人以生
[col 20] 이타홈에至ᄒᆞ야는簡單히宇宙進化의過程을明示ᄒᆞ엿고
