# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_13_p7u.txt

[title] 天道敎會月報
[title] 아-내의사랑하
[col 03] 탈업시잘잇거
[col 04] 佳麗한晉州川을
[col 05] 하ᄂᆞᆫ兄님과生을
[col 06] 馬山을行하ᄂᆞᆫ내
[col 07] 은것잘을수업는궁
[col 08] 에들어찻다나는내
[col 09] 周衣를無心히업
[col 10] 오즉晉州의紀念品
[col 11] 永遠히保存하야晉
[col 12] 情表를삼으리라
[col 13] 自動車는어느듯馬
[col 14] 그리고釜山港의車
[col 15] 鮮의一等港되ᄂᆞᆫ
[col 16] 이되엿다
[col 17] 二十四日下午六時
[col 18] 元山을行하고出帆
[col 19] 도其船客中한사람
[col 20] 보며々々々々異景
[col 21] 나의사랑하ᄂᆞᆫ晉州靑年會야
[col 22] 탈업시잘자라라
[col 23] 목마르거든물을마시고
[col 24] 困하거든쉬여가면서
[col 25] 永遠한將來를바라고
[col 26] 탈업시잘자라라
[col 27] 너의등에무거운짐
[col 28] 너가오직질머지고
[col 29] 너의마당속龍泉의
[col 30] 光彩잇게갈아가지고
[col 31] 荊棘을헤치며惡魔를버히면서
[col 32] 健壯하게나가거라
[col 33] 世上이너를헐고辱하거든
[col 34] 너는오즉우서가면서
[col 35] 世上이너를歡迎하고稱讚하거든
[col 36] 너는오즉沈默하여서
[col 37] 白頭山의絶頂에파갓치
[col 38] 우둑히솟사잇거라
[col 39] 太平洋의範圍갓치
