# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 天道敎會月報
[col 02] 央에누어잇섯고夜火갓흔雜卒은
[col 03] 大神師를에워싸고둘너섯는대監
[col 04] 使의叱令한소래에校卒이칼을들
[col 05] 고년실々々춤을추면서大神師의
[col 06] 목을向하고再三직엇다그러나劒
[col 07] 光만날비해번적일뿐분이오大神
[col 08] 師는如前히누엇슬뿐이엇다이
[col 09] 것이大神師의造化의一端를無識한
[col 10] 世上사람의게보인것이겟다이
[col 11] 뿐盛使以下一四圓에모힌사람은
[col 12] 눈이둥그러지며엇지할바를모
[col 13] 를움에大神師는天然히웃고校
[col 14] 卒을向하야淸水一器를請하얏다
[col 15] 臨에능면校卒은監司의命令에의지하
[col 16] 야惶悶히淸水를밧드려大神師
[col 17] 압헤모셨다大神師는전々히이
[col 18] 안저한참동안이나무엇을默念하
[col 19] 고잇더니다시新首座에올으면서
[col 20] 泰然히仙臺를向하야돌아가섯다
[col 21] 흐는듯精神업시
[col 22] 대업는가마귀한떼
[col 23] 지고싸옥々날아
[col 24] 을드러四圍를살피
[col 25] 神이어느듯내의
[col 26] 四
[col 27] 日氣는連히淸明하
[col 28] 風光을나타내인
[col 29] 어느듯暮春의光景
[col 30] 慘한大邱의古蹟을
[col 31] 를向하야나기는
[col 32] 時列車이엇다列
[col 33] 를만하면서南에
[col 34] 갓치달아난다楡
[col 35] 취안래에서自然
[col 36] 山을즐고들을세
[col 37] 는대나는嶺南樓
[col 38] 로바라보고山光
[col 39] 開된密陽平野를지
