# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section_running] 天道敎會月報
[col 02] 히漠然ᄒᆞᆫ말이며巫ᄒᆞᆫ抽象的形辭이다無엇을가라쳐
[col 03] 이름일것인가爲先宗敎라ᄒᆞ는名義下에셔이를생각ᄒᆞ
[col 04] 야볼지라도快히其要領을아라내일수업게된것이라
[col 05] 宗敎에는檀箕時代에임이ᄒᆞᆫ울이라ᄒᆞ는理想鎊를信奉
[col 06] ᄒᆞᆫ事實은考古의材料에임이넉넉히證明할바이나그러
[col 07] 나其의理想은儒佛兩敎가支那로붓허輸入된以後에는
[col 08] 어느못痕跡을감츄엇고朝鮮의宗敎는儒佛의思想下에
[col 09] 支配케되엿든것이라三國時代에鴨綠江을건너儒佛의
[col 10] 兩神은遂히朝鮮的思想이되야上은王家로붓허下는
[col 11] 愚夫愚民에至ᄒᆞ기ᄭᅡ지普通의福音으로우리의思想을
[col 12] 養成케되엿든것이라안이其는儒佛쑨안이오老子의末
[col 13] 裔되는仙敎思想ᄭᅡ지一種混合體로써朝鮮民族의思想
[col 14] 이되야오섯다其一例를들건뎌新羅의崔孤雲先生과
[col 15] 如ᄒᆞᆷ은其思想的眞精神에셔어느듯儒佛仙의共同
[col 16] 崇拜者로儒佛仙合體行爲를表顯ᄒᆞ엿스며百濟의薛
[col 17] 聰이며王仁先生과如ᄒᆞᆷ은各各儒佛의先導者로博
[col 18] 名이天下에轟々ᄒᆞᆫ點으로보아도朝鮮은必然的儒佛
[col 19] 仙의合體思想으로合體的精神이된것이도다
[col 20] 儒佛仙이朝鮮民族의全民族의精神이過去幾千年의
