# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[author] 夜雷
[col 02] 涉無事不命의法則이流行케된것이다是ㅣ混元의氣
[col 03] ㅣ天地에充ᄒᆞ고宇宙에亙ᄒᆞ야萬有ㅣ互相循環蠢動
[col 04] ᄒᆞ난것이다
[col 05] 開而聞ᄒᆞ야는
[col 06] 爲至氣ㅣ
[col 07] 今至願爲大降
[col 08] 二
[col 09] 大金에曰「今至者ᄂᆞᆫ於斯入道知其氣接者也願爲者請祝之意也大降者氣化之願也」
[col 10] 한바ㅣ人의身은旣히氣의積ᄒᆞᆫ者오又靈의表顯ᄒᆞᆫ者라然
[col 11] ᄒᆞ민人은在ᄒᆞ면셔旣히氣의接ᄒᆞᆫ者어늘於斯入道에其
[col 12] ㅣ氣接을知ᄒᆞᆫ다홈은何故일가這間에實로大ᄒᆞᆫ意味가
[col 13] 有ᄒᆞ다元來ㅣ人은氣로積ᄒᆞᆫ者이니人이其氣를擴充
[col 14] ᄒᆞ야能히正을用ᄒᆞ고邪를排홈은是道力이有ᄒᆞᆫ者ㅣ안
[col 15] 이면到底不能ᄒᆞ리니故로人이道에入ᄒᆞᄂᆞᆫ初ㅣ먼저
[col 16] 이물質氣의擴充을求ᄒᆞᄂᆞᆫ所以니比컨되水ᄂᆞᆫ地中에ㅣ아모대나
[col 17] 靈의存在ᄒᆞᆫ것이나此를題用ᄒᆞ야渴을解홈은地를掘ᄒᆞ야
[col 18] 等의
