# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 天道敎會月報
[col 02] 것이잇다故로哲學의起源은當初無形으로부러始作된
[col 03] 것이안이오外界物質界의硏究로부러始하엿나니이는
[col 04] 東西가다一轍이어섯다例하면世界가土로부러成하
[col 05] 엿다云하는地師論者도이섯스며水로써世界의原理라
[col 06] 하는堪水論師이며其他一火는火論師風은風仙論師
[col 07] 空은口力論師等一卽地水火風空의物質로써世界를解
[col 08] 釋한學派가이섯다故로宇宙를먼저物質的으로解釋한
[col 09] 것이哲學의始初이엇다其後에漸次科學이勃興함을따
[col 10] 라唯物論는健全한命脈을保하게되엿나니이가哲學
[col 11] 史上唯物論에唯心論으토더부러서로對立의形勢를가
[col 12] 지게된것이엇다
[col 13] 抑唯物論은唯心論보다理解하기쉬우며通俗的의되기
[col 14] 쉬운것이엇다世界는物質로부러成立하엿다함이얼는
[col 15] 世人의理解를惹起케되엿다唯心論는少하야도無形의
[col 16] 論法인故로一般世人에對하야頗히通키難한것이엇다
[col 17] 이것이唯物論이唯心論보다먼저起한原因이며또한一
[col 18] 般의共通有케易한것이엇다그리하야唯心論는以上에
[col 19] 述함과갓치近世科學이勃興함에조차더욱人心의注意
[col 20] 를惹起케되엿스며又其勢力을保存케된것이엇다
[col 21] 然한唯物論과唯心論에對하야此를批判코一言으로定
