# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 天道敎會月報
[col 02] 魂을生命의別名이라하면其의滅不滅은爭할必要가
[col 03] 나니生命은死할것이至하야其作用이中止될뿐으로써니
[col 04] 元來一靈魂이라함은萬物生命의元力이니라生命의
[col 05] 의原理니라活精이니라靈魂이有하故로生命이生하
[col 06] 恰然히生命이有하야肉體가生함과如하며肉體가有
[col 07] 야作用을生함과如하니라
[col 08] 然하면此靈魂은何處에在한것인가그를解釋함이
[col 09] 今日進步한된物質論이니라元來物質論은萬物
[col 10] 本質을解釋하야이로써物이라稱하며力이라함에對
[col 11] 하였더니라然이나物이라함은何이며力이라함은何
[col 12] 냐問함에對하야는此로써宇宙에磅礴한一個無限
[col 13] 活精의表顯이라함은學者의說이一致한배니라物
[col 14] 專門으로硏究한化學과力을專門으로硏究한理學은
[col 15] 元素라云하며極微分子라云하는者ㅣ々지說明할
[col 16] 으므로그보다以上深奧한裡에는及치못하였스나
[col 17] 러나物과力이라함은根本에서二者가안임을認하
[col 18] 同一하니라物이有한後에力이有하냐力이有한後
[col 19] 物이有하냐함은어느듯陳腐의問題니라兩者는一
[col 20] 精의活動이니라物에는引力이有하나니其所謂引
[col 21] 은何로부텨來하였스라物이만일活精의表顯이안
[col 22] [?]
