# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 質疑者의게答함
[col 02] 天道敎會月報
[col 03] ᄒᆞ며修道ㅣ라若此에違返하면智覺업난너의百年間身數와萬年間性壽
[col 04] 가可憐코可惜ᄒᆞ지라그런나에말은虛에歸ᄒᆞ고너의誠은美치못ᄒᆞ리
[col 05] 니엇지世間의大羞耻가안일것이냐니이도天性天身이俱備혼사람이라
[col 06] 이글은왓는問證의게質疑바든그대로事實로記載하야써讀者의參
[col 07] 考에供함
[col 08] 問天道敎의經典은몃種類나되며又其敎理의範圍
[col 09] 난엇더하옵니잇까
[col 10] 答天道敎에는別로된經典이라할것이업슴니다다만구ᄒᆞ여
[col 11] 敎에는반듯이經典이잇서야必要하다할것갓흐면우
[col 12] 리敎의經典이라할것은大神師께서親述하신大全
[col 13] 四篇歌詞八篇及其他言行의蒐集이곳天道의經典이
[col 14] 될것임니다그러나以上에말한四篇大全과八篇歌
[col 15] 詞라할지라도이틀이篇이되고字數로말하면合
[col 16] ᄒᆞ야新聞紙一杖만도못한것이올시다
