# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section_running] 雜俎
[col 02] 에求코져홈에不外ᄒᆞᄂᆞ若極端의厭世家로
[col 03] 無人孤島에置ᄒᆞ여라終은身을殺ᄒᆞᆯ外他道
[col 04] 가無ᄒᆞᆯ지니故로生命을有ᄒᆞ者ㅣ世에向ᄒᆞ
[col 05] 야發展코져홈이植物이太陽을向ᄒᆞ야伸長
[col 06] 홈과無異ᄒᆞ니라僧아汝ㅣ死僧이되지勿ᄒᆞ
[col 07] 고活僧이되여라人生은無常ᄒᆞᄂᆞ無常의裡
[col 08] 에平等이有ᄒᆞ고世道ᄂᆞᆫ多難ᄒᆞᄂᆞ多艱의裡
[col 09] 에自由가有ᄒᆞ니這裡의消息으로通ᄒᆞ면千
[col 10] 古의活佛이寸裏에歸ᄒᆞᄂᆞ라大神의靈力임
[col 11] 無惡ᄒᆞ니一切의活動이摠히大神의靈力임
[col 12] 을忘치勿ᄒᆞᆯ지어다看ᄒᆞ라大神은好奇ᄒᆞᄂᆞ
[col 13] 니岩怪石奇ᄂᆞᆫ神의好奇性이며大神은好色
[col 14] ᄒᆞᄂᆞ니笑花啼鳥ᄂᆞᆫ神의好色性이며大神은
[col 15] 好食ᄒᆞᄂᆞ니虎視鷹瞵은神의好食性이며大
[col 16] 神은好情ᄒᆞᄂᆞ니神龜靈鳳은神의好情性이
