# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section_running] 敎理部
[col 02] 면吾人은無常無常의世波에逐ᄒᆞ야刹那
[col 03] 那의私慾을貪ᄒᆞ이性天에對ᄒᆞ一不孝임을
[col 04] 忘치勿ᄒᆞ라不孝일지라도其樂이永遠
[col 05] ᄒᆞ고其境이實在이면一点容恕의點이有ᄒᆞᆯ
[col 06] 지로되所謂世俗의樂은空中蜃樓와如ᄒᆞ야
[col 07] 望ᄒᆞ면其色이燦爛ᄒᆞ되近ᄒᆞ면其形이消滅
[col 08] ᄒᆞᆷ에奈何오世人이皆飮食으로써生命의要
[col 09] 素임을知ᄒᆞ되更히飮食以上의生命要素
[col 10] 空氣임을不知ᄒᆞᄂᆞ니其故ᄂᆞᆫ空氣ᄂᆞᆫ廣大有
[col 11] 餘ᄒᆞ며且肉眼으로써見치못ᄒᆞᆷ으로然
[col 12] 이ᄂᆞ飮食은能히幾日을闕ᄒᆞ고도오히려命
[col 13] 을維持ᄒᆞ되空氣ᄂᆞ一分間呼吸치못ᄒᆞ면始
[col 14] 히不堪ᄒᆞᄂᆞ니空氣와飮食의間에生命上關
[col 15] 係의逕庭이如何오是理를延長ᄒᆞ야究竟性
[col 16] 天에至ᄒᆞ면性天은實로飮食以上의飮食이
[col 17] 며空氣以上의空氣라我의未生以前의生命
