# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 講演
[col 02] 手段을慨히秘密에付ᄒᆞ야吾人의淺識으로能히其神秘
[col 03] 的奧底를窺키難ᄒᆞ도다然이나吾人은萬殊一理의原則
[col 04] 에서、吾人의生死도亦是大宇宙의建築及破壞의渦流
[col 05] 中一作用임을謎치못ᄒᆞᆯ事實이라然ᄒᆞ뎌시死를建築及
[col 06] 破壞的事實의表面으로觀ᄒᆞ야生理的原理로先히一考
[col 07] 評을下ᄒᆞ면生死는實로難問題가아니라何者오盖吾人
[col 08] 의身體는一細胞區(肉의極微分子인디個體的活生命
[col 09] 을有ᄒᆞᆫ者)이더此細胞로組織ᄒᆞᆫ吾人肉體의國家는收
[col 10] 入과支出로써其生命을維持ᄒᆞ는者라故로收入이支出
[col 11] 에超過ᄒᆞᆯ時는吾人의身體는漸次成長ᄒᆞ다가(一出生時
[col 12] 로붓터三十에至ᄒᆞ는間)收入과支出이平均ᄒᆞ며(三十
[col 13] 長을廢止ᄒᆞ고劍國主義의保守狀態에努力ᄒᆞ며
[col 14] 으로붓터四十에至ᄒᆞ는間)支出이收入에超過ᄒᆞᆯ時는
[col 15] 細胞國의經濟는漸々衰退에入ᄒᆞ야終에滅亡의境에至
[col 16] ᄒᆞᄂᆞ니是가吾人生命을生死的으로見ᄒᆞᆫ表面의生死니
[col 17] 然이나吾人은此를表面的生死라ᄒᆞ야蔑如에付ᄒᆞᆷ이
[col 18] 不可ᄒᆞ니何者오這裡에一種神秘的妙法이包含ᄒᆞ엿ᄉᆞ
[col 19] 으로써果然吾人의身體가一細胞國이라ᄒᆞ면細胞는
[col 20] 我에對ᄒᆞᆫ一分子가될지라是等分子我는不絕히我의
