# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 滄海居士
[col 02] 極히少흐지만은、이公園의싱긴것은、나눈甚히感謝
[col 03] 히싱각흐엿다、意味업는野草가、이리저리、헝클어젓
[col 04] 는속에서、香蘭一叢을、어더보면、오직이나、사랑
[col 05] 스러우랴塔洞公園은、實로、이煩雜흔都會속에、
[col 06] 펏처잇는蘭草나、달음업다
[col 07] 塔洞公園은、其일홈과갓치、塔이主人公이다、그리
[col 08] 고、其거울갓흔、못、이라든지、송낙갓흔、香木이
[col 09] 밧든지、美ㅅ갓흔、櫻花흣든지、다ㅡ이近年에、
[col 10] 서로히、生產흔新聞化産이다저主人翁을보고는、
[col 11] 나는過去를싱각흐고저開化産을보고는、나는現在
[col 12] 를싱각흐다過去도버려서는、안될것이오、現在도
[col 13] 忘흐야서는、안될일이라、鑑古知新은、아마도、人
[col 14] 生의妙趣인가보다其塔우에는、멧百이나、되는붓
[col 15] 처님들이、南無阿彌陀佛을、부르고、안젓다、저붓
[col 16] 처님들이、極樂世界로、가지아니흐고、그리로이世
[col 17] 上에、잇는것을보면、이世上이、아마도極樂인가보
