# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 繼祖
[col 02] 이方法이면、世界만도、아니오、古今만도、아니오
[col 03] 全宇宙가、다―너의親友일것이다、나는、이地球와
[col 04] 親ᄒᆞ다、地球는、太陽과親ᄒᆞᆯ것이다、太陽은、他의
[col 05] 星界와親ᄒᆞᆯ것이다、이方法으로、繼續ᄒᆞ야나가면、
[col 06] 大三千世界가、다、너―의親友가될것이다나는인
[col 07] 제는、걱정이업다、全世界사람이、다―나의親友일
[col 08] 진터、뉘가、나사당치아니ᄒᆞ며、全宇宙가、다너의
[col 09] 親友일진터、뉘가나를反對ᄒᆞ랴、나는、인제야、처
[col 10] 음으로、四海同胞의意味를、서다맛다、天地一身의
[col 11] 意味를、알엇다、나는英雄도되고십지안코、賢哲도
[col 12] 되고십지안코、凡人도되고십지안코、異人도되고십
[col 13] 지안코、神靈이되야、이全世界를支配ᄒᆞ고십다、上帝
[col 14] 가되야、이全宇宙를支配ᄒᆞ고십다
[col 15] 「슐텬업노리理그만두고종가보세」ᄒᆞ고、申君은、너
[col 16] 의手를이끌고、너러섯다、두사람의발은、어느듯、
[col 17] 南山公園에드러섯다、鬱蒼ᄒᆞᆫ松林속에、구불々々ᄒᆞᆫ
[col 18] 길이、서로히、開拓이되엿다인제야말로、自然이
[col 19] 만히、사ᄂᆞᆫ곳에來ᄒᆞ엿다、귀밋에아즉도、機械소
[col 20] 리、馬車소리、電車소리、自動車소리、人力車소리
