# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[title] 雜淵
[col 02] 우리외게健康을준다ᄒᆞ면、아모라도、밋지아니ᄒᆞᆯ것이
[col 03] 지만은、天地自然의需應을아는사람은、귀ᄒᆞ도、이를
[col 04] 反對ᄒᆞ랴나는宗敎信者니스가、宗敎도、이南山公園갓
[col 05] 튼것인가생각ᄒᆞᆫ다말도업고、글도업는宗敎의効力
[col 06] 은、이南山公園갓치、가만히、靜ᄒᆞ야잇지만은、우리
[col 07] 人生의게、얼마나無形ᄒᆞᆫ性靈의糧食을、쥬는줄로、世
[col 08] 上이알가보냐、우리는、이南山公園을볼졔에、얼마나
[col 09] 우리宗敎의効力이、이世上에、일슬것을、더욱셔다랏
[col 10] 다
[col 11] 이滋味로온、今日의太陽은、정다온光彩를던져、고만
[col 12] ᄒᆞ던호흘散步는잘되얏스니、어서돌아가랴ᄒᆞᆫ다나
[col 13] 는이太陽을보고、牛山을聯想ᄒᆞ엿다、牛山을聯想ᄒᆞ고
[col 14] 는蕭景公도그닥愚痴ᄒᆞᆫ사
[col 15] 람이아니다、도리혀賢哲호千乘이지만은、져夕陽을보
[col 16] 고、엇진생각으로、落淚ᄒᆞ얏슬가울치그러ᄒᆞᆯ것이다
[col 17] 져太陽이、져먹케往來ᄒᆞ면、이肉身이늙거지는탓이
[col 18] 다、이肉身이늙거지면、畢竟죽어지는탓이엿다이
[col 19] 肉身이죽어지는것이、무엇이그리、哀痛ᄒᆞᆫ일일가이
[col 20] 身죽는것이哀痛ᄒᆞᆫ줄알면은、이세상을버리기가哀痛
