# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 偉大ᄒᆞᆫ心의世界
[col 02] ᄒᆞ고虛ᄒᆞ도다天象도虛ᄒᆞ고地象도人象도虛ᄒᆞ
[col 03] 이여嗚呼라我—무엇으로써其虛ᄒᆞᆷ을知ᄒᆞ고눈코齒—切
[col 04] 이無常ᄒᆞ고一切이常住치아니ᄒᆞᆷ으로써인뎌
[col 05] 大天星辰이運行ᄒᆞ야永住치아니ᄒᆞ며大地山河가日로變ᄒᆞ야가며香丹象芳
[col 06] 야固定치아니ᄒᆞ며嗚呼라神明의劇場이여宇宙도虛ᄒᆞ
[col 07] 이時로衰ᄒᆞ야가나니嗚呼라風雨雲烟이出沒ᄒᆞ
[col 08] 고天地도虛ᄒᆞ고一切妙法이皆虛ᄒᆞ고一切萬堺가皆虛ᄒᆞ
[col 09] 도다
[col 10] 歸ᄒᆞ야人象을見ᄒᆞ라風丰玉芓의美容이日로枯退ᄒᆞ며
[col 11] 容月態의風光이時로萎廃ᄒᆞ며席捲大地의氣熖이終에孤
[col 12] 帰波聲과共히呻吟ᄒᆞ며一呵獅吼의權威가畢竟咸陽黃犬
[col 13] 과共히窮吠ᄒᆞ며錦帳繡屛의驚咳가末乃㵎陽悲琶을泣快
[col 14] ᄒᆞᄂᆞ니嗚呼라人事의無常이여富貴도虛ᄒᆞ고名譽도虛ᄒᆞ
[col 15] 고權威도虛ᄒᆞ도다
