# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 我의活動은實로進退維谷이로다進ᄒᆞ야親코저ᄒᆞ면一切
[col 03] 이皆虛ᄒᆞ고退ᄒᆞ야自保코저ᄒᆞ면一心이皆空ᄒᆞ거니終에
[col 04] 我눈一切萬象을疑케되며進ᄒᆞ야天地今日의所從來를疑
[col 05] 케되며又進ᄒᆞ야天地今日의有我를疑케되도
[col 06] 嗚呼라宇宙의窮極은何處이며何時일가我눈敢히我
[col 07] 의小ᄒᆞᆫ想像으로此를推測키不能ᄒᆞ도다但宇宙의本來눈
[col 08] 渺乎ᄒᆞᆫ一物일지라此渺乎ᄒᆞᆫ本來一物이有ᄒᆞ야億萬兆의今古
[col 09] 가有ᄒᆞ야슬지며旣히今古가有ᄒᆞ야슬진되天地今日이不
[col 10] 可不有ᄒᆞᆯ것이며天地今日이有ᄒᆞᆯ진되從ᄒᆞ야我의今日이
[col 11] 不可不有ᄒᆞᆯ것이라故로我의今日은是天地今日이有ᄒᆞᆫ所
[col 12] 以며天地今日은是今古가有ᄒᆞᆫ所以며今古눈是一本來一
[col 13] 物이有ᄒᆞᆫ所以라從ᄒᆞ야我의今日을疑ᄒᆞᆯ진되、먼저本來
[col 14] 一物을疑치아니치못ᄒᆞᆯ진며
[col 15] 萬若本來一物이是一空이면我눈其一空된所以를疑케되
[col 16] 며若無空이면我눈其一無空된所以를疑ᄒᆞ리라又若本來
[col 17] 一物이人이면我눈其一人된所以를疑ᄒᆞ며若不人이면其
[col 18] 不人된所以를疑ᄒᆞ리라抑又若本來一物이物이면我눈其
[col 19] 一物된所以를疑ᄒᆞ며若不物이면我눈其一不物된所以를
[col 20] 疑ᄒᆞ리라若本來一物의根底를遡想ᄒᆞ야其一疑의疑言追
