# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[author] 滄海居士
[col 02] 果然一切이虛妄ᄒᆞ고一切이無常ᄒᆞᆫ진뎌我一무엇으로써
[col 03] 信用잇는親友를삼으랴我某一物을把ᄒᆞ고此가信用잇는
[col 04] 伴侶라ᄒᆞ야此에永久의信約을寄코저ᄒᆞᆯ지라도其物은旣
[col 05] 히根本에서虛妄ᄒᆞ거니其信約이엇지不變이되랴我又一物
[col 06] 을把ᄒᆞ고此를真實된戀愛라ᄒᆞ야此에永久의愛情을付着
[col 07] 코저ᄒᆞ도其一物은又一根本에서虛妄ᄒᆞ니其愛情이엇지固
[col 08] 定이라ᄒᆞ랴一切이根本에서變ᄒᆞ야가며一切이根本에서
[col 09] 固定치아니ᄒᆞ면從ᄒᆞ야所謂親도變ᄒᆞ야가며所謂愛도固
[col 10] 定치아니ᄒᆞ리라變ᄒᆞ는親과固定치못ᄒᆞᆫ愛는雖曰云其親
[col 11] 愛가我의身邊에圍繞ᄒᆞᆯ지라도무엇이그리有情ᄒᆞ리오我一
[col 12] 今日로부터我一身邊에圍繞ᄒᆞᆫ有情을冷待ᄒᆞ고剥奪ᄒᆞ야寂
[col 13] 寞ᄒᆞ히一切을取扱ᄒᆞ리라ᄒᆞ면我의宇宙는忽然寒巖枯木
[col 14] 이되며我의世界는動輒瓦礫沙漠이되야我의生活은生活
[col 15] 枯塚으로變ᄒᆞ고我의活動은活動의北邙으로退ᄒᆞ야가리라
