# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 敎理部
[col 02] 思ᄒᆞ라我ᄂᆞᆫ黃金을貪ᄒᆞ야나若世界의黃金을集ᄒᆞ야我의
[col 03] 倉庫裡에積ᄒᆞ엿다ᄒᆞᆯ지라도黃金은黃金이오我ᄂᆞᆫ我니我
[col 04] 의게何等實益이有ᄒᆞ며若世界의名譽를奪ᄒᆞ야我一身에
[col 05] 加ᄒᆞ엿다ᄒᆞ면名譽ᄂᆞᆫ名譽오我ᄂᆞᆫ我니我의게何等의快感이
[col 06] 有ᄒᆞ며若世界의權威를奪ᄒᆞ야我家에集ᄒᆞ엿다ᄒᆞ면權威
[col 07] ᄂᆞᆫ權威오我ᄂᆞᆫ我이라我의게何等興味가有ᄒᆞ리오若世界
[col 08] 의人類가盡滅ᄒᆞ고我獨히此世界에生存ᄒᆞ엿다ᄒᆞ면그야
[col 09] 말로世界의黃金이皆我의것이며世界의名譽世界의權威
[col 10] 가皆我의것일지라그러나그것은도리혀死ᄒᆞᆫ枯塚의生
[col 11] 活보다도더욱宗敎衰落ᄒᆞᆫ者일지라故로不可不我의黃金을散
[col 12] ᄒᆞ야서라도同類를繁殖ᄒᆞ고從ᄒᆞ야我의權威、我의名
[col 13] 譽를分割ᄒᆞ야人의게與ᄒᆞᆫ後에我의趣味的인生活을助長코
[col 14] 져ᄒᆞ리라그리ᄒᆞ야其究竟은今日의現象과足還元ᄒᆞ는數
[col 15] 外他道가無ᄒᆞᆯ지니라
[col 16] 嗚呼라人生一代ᄂᆞᆫ實로白駒過隙이니라假令三十四十年이
[col 17] 되야功名富貴를幸得ᄒᆞ야其一身을粧飾ᄒᆞᆫ지라도其功名
[col 18] 富貴를何時々지持續ᄒᆞᆯ수有ᄒᆞ랴古人所謂「人生一世
[col 19] 之間如白駒過隙三十年功名富貴轉盼成空何不一筆勾
[col 20] 消」라ᄒᆞ니昔日壯士의快擧가非我人生의快擧ㅣ리오限定
