# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p2l.txt

[author] 이白帝
[col 02] 輕佻의少年人과如ㅎ고丑秋는謹愼慤儉의老成人과如ㅎ다
[col 03] 春은幾何摘星의空論家와如ㅎ고秋는知行合一의實際家
[col 04] 와如ㅎ다春은巧言令色의美少娥와如ㅎ고秋는道成德立
[col 05] 의老法師와如ㅎ다이것이大概春秋의裡面實態를描出
[col 06] ㅎ것이다試ㅎ야昨日을偸ㅎ야牛車를寒山石逕의裡에停刊
[col 07] ㅎ여라羅雲淡風輕의味와訪花隨柳의樂은無言지라도桎梏
[col 08] 綠이一黃橘樣의富庫楓丹菊白의雅趣가實로吾八으足金谷의夢
[col 09] 야부럽던을成케ㅎ고이타古人이曰以虫鳴秋라ㅎ니秋는實로虫의
[col 10] 産屋가枯舞臺이엇다夕天의佈微荳幕色을乘ㅎ야一步高一步低로
[col 11] 入室ㅎ는것은露의中斗頹垣荒臺의裡로秋ㅎ고細草ㅅ잎의露이나의數
[col 12] 出苦경膜을動ㅎ고저에나타는듯異想의天地에入ㅎ야上帝로부터부
[col 13] 토詩人에리問答ㅎ는快感이生ㅎ노니是時에際ㅎ야我가虫이되야
[col 14] 抑虫이我가되야天地一身萬物同胞의感을禁치못ㅎ리라「朝
[col 15] 來入庭樹孤客最先聞」ㅎ니이눈風의聲이며「遠客坐長夜雨聲
[col 16] 孤寺秋」ㅎ니이눈雨의聲이며水碧沙明雨岸苔濃蒲何事等閑回
[col 17] ㅎ니이눈水의聲이며西風仲宣樓上人ㅎ니이눈秋의聲이며
[col 18] 秋의聲이엇지虫聲이리라「一朝秋聲至此身已屬」ㅎ니이눈
[col 19] 秋의聲이며「秋聲不獨在梧桐」ㅎ니이눈秋의聲이며「秋聲不
[col 20] 在樹聲在萬人家」ㅎ니이눈秋의聲이며「秋聲何處來蕭蕭送
[col 21] 客船」ㅎ니이눈秋의聲이며「秋聲何處來漠漠動江關」ㅎ니
[col 22] 이눈秋의聲이며「秋聲何處來颯颯滿空山」ㅎ니이눈秋의
[col 23] 聲이며「秋聲何處來蕭蕭在林間」ㅎ니이눈秋의聲이며「秋
[col 24] 聲何處來颯颯在松間」ㅎ니이눈秋의聲이며「秋聲何處來蕭
[col 25] 蕭在蘆灣」ㅎ니이눈秋의聲이며「秋聲何處來蕭蕭在竹間」
[col 26] ㅎ니이눈秋의聲이며「秋聲何處來蕭蕭在雲間」ㅎ니이눈秋
[col 27] 의聲이며「秋聲何處來蕭蕭在石間」ㅎ니이눈秋의聲이며「秋
