# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 講演
[col 02] 이오其中和를得ᄒᆞ者尙無흐故로다蓋人은
[col 03] 性身合格이라性身中間에立ᄒᆞ야不偏不依
[col 04] 的極度의宗教가現出치아니ᄒᆞ면人生의主
[col 05] 觀眼은範圍를脫ᄒᆞᆯ一日이無흐지니今에吾
[col 06] 教의元理와人生上現象의關係를融合케爲
[col 07] ᄒᆞ야數條를擧ᄒᆞ노라
[col 08] 迷信與不迷信、天下의人이不迷信으로生
[col 09] 活ᄒᆞ는者無ᄒᆞ며天下의事ㅣ不迷信으로成
[col 10] ᄒᆞ는者亦無ᄒᆞ도다烈女의貞節에迷信ᄒᆞ며
[col 11] 忠臣은國家에迷信ᄒᆞ며法律家는法律에迷
[col 12] 信ᄒᆞ며學文家는學文에迷信ᄒᆞ며農家는耕
[col 13] 耘에迷信ᄒᆞ며商家는貿易에迷信ᄒᆞ니니迷
[col 14] 信ᄒᆞ므로熱誠이生ᄒᆞ며熱誠이生ᄒᆞ므로不
[col 15] 可爲의事가絶無흐지라世人이通常迷信을
[col 16] 宗教信者의게加稱ᄒᆞ느니大抵宗教라ᄒᆞᆷ은
[col 17] 何等眞理가乏흐古代蠻教라도總히人類의
