# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[author] 滄海居士
[col 02] 서其눈아모조록其맛하나는맛보지안이ᄒᆞ려고神仙
[col 03] 術을비오고져ᄒᆞ엿다이ᄯᅥ마춤徐市라爲名ᄒᆞ는道士ᄒᆞ
[col 04] 분이其消息을듯고始皇을차자보앗다始皇은慾心주머
[col 05] 니가一層널버지며인제야말로神仙이되는구나ᄒᆞ고
[col 06] 徐市의말을무엇이든지고제듯게되엿다그리셔徐市
[col 07] 눈말ᄒᆞ되神仙이되랴면蓬萊山에드러가不死藥을求ᄒᆞ
[col 08] 야오지안이ᄒᆞ면안이된다고말ᄒᆞ엿다始皇은其말에應ᄒᆞ
[col 09] 야童男童女五百人을徐市의게주어順風掛帆으로蓬萊山
[col 10] 을向ᄒᆞ야ᄯᅥ나가게되엿다이小說的갓흔말은支那古代歷
[col 11] 史에두려시실러이서世上에혼珍談으로ᄂᆞ려오게되
[col 12] 엿다우리눈長生을말ᄒᆞᆯ쩌에반다시神仙을聯想ᄒᆞ
[col 13] 게되고神仙을말ᄒᆞᆯ쩌에논반다시蓬萊山을聯想ᄒᆞ
[col 14] 其눈맛치迷信이되엿다그리고蓬萊山이어ᄯᅥ잇눈지눈仔細
