# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 雜俎
[col 02] 엇好否를짐작ᄒᆞ는것이닥우리는맛잇는것을먹고그其를
[col 03] 맛잇다咸覺ᄒᆞ거늘自我호소몸박게는親호父母도모를것
[col 04] 이닥愉快호것을愉快타하고趣味로운것을趣味로알
[col 05] 기노自我호소몸박게는다시업슬것이닥그러면一切의
[col 06] 愉快가안에잇고박게잇는것이안이오늬게잇고物件
[col 07] 에잇는것이안이닥아모리박게것이燦爛ᄒᆞ고아모
[col 08] 리박게物件이훌륭ᄒᆞ지라도自我의心靈이업고보면
[col 09] 其를알아볼道理가업슬것이닥그러므로天堂이박ㅎ눈
[col 10] 것도自己의마음속으로造成호것이오極樂이박ㅎ도
[col 11] 自己의마음에서나온것이닥世上에눈厭世家도잇고
[col 12] 樂天家도잇다悲劇家도잇고喜劇家도잇다다각서
[col 13] 여러가지種々호區別이만히잇다千態萬像이며百態萬
[col 14] 態의區別이잇다이러러가지差等이며區別은다一自
[col 15] 己의마음으로主觀호는데서不過호것이닥宇宙라ᄒᆞ며
[col 16] 世上이라ᄒᆞ온本來붓허極樂도안니며地獄도안니다
[col 17] 宇宙란宇宙라는意味뿐이며世上이란世上의意味뿐이
[col 18] 닥이를樂觀ᄒᆞ며이를悲觀호는것은都是自己마음일
[col 19] 것이닥口에甘草를含호者눈一切物이닥ㅡ甘ᄒᆞ다咸覺
[col 20] 호닥口에細辛를含호者ㅡ一切物이닥ㅡ辛ᄒᆞ다咸覺호닥
