# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[section_running] 雜俎
[col 02] 오터키處世의術은專혀人을勝ᄒᆞᆷ으로目的ᄒᆞᆷ이不可ᄒᆞ
[col 03] 니라吾는思ᄒᆞ되處世의極致는生死를明혀ᄒᆞᆷ에在ᄒᆞ
[col 04] 노니士된一者常히此心을養ᄒᆞ고其術을修치아니
[col 05] ᄒᆞ면不可ᄒᆞ니라蓋世는苦니라그리ᄒᆞ야苦의義는卽
[col 06] 敵의義니라故로此世에處ᄒᆞ야一功의物欲의敵을打勝
[col 07] ᄒᆞ야大悟徹底에到코져ᄒᆞ면몬져死의意를徹底ᄒᆞᆷ에在
[col 08] ᄒᆞ니라此心에偏曲이無ᄒᆞ고不疑不惑ᄒᆞ며無吻無ᄒᆞ
[col 09] ᄒᆞ야確然自容ᄒᆞ며修然自在ᄒᆞ라若一此心이僅히
[col 10] 物이有ᄒᆞᆯ時는狀이有ᄒᆞ며狀이有ᄒᆞᆯ時는敵이有ᄒᆞ
[col 11] 며我가有ᄒᆞ야相對差別이玆에生ᄒᆞᄂᆞ니此와如ᄒᆞᆷ
[col 12] 은妙化實用의自在가아니니라如斯ᄒᆞ면我心이旣히死
[col 13] 地에落入ᄒᆞ야靈明을失ᄒᆞ엿거니엇지能히敵을制禦ᄒᆞ
[col 14] 야泰然의地에立ᄒᆞ리오盖無物이라ᄒᆞᆷ은頑空을云ᄒᆞᆷ이
[col 15] 아니니라心本無形이라此에物을蓄ᄒᆞ이不可ᄒᆞ다
[col 16] 僅히此를蓄ᄒᆞᆯ時는氣도亦其處에倚ᄒᆞ며氣가其處에
[col 17] 倚ᄒᆞᆯ時는融通豁達키不能ᄒᆞ니라若如斯ᄒᆞ면用ᄒᆞ
[col 18] 면過ᄒᆞ고不用ᄒᆞ면不及ᄒᆞ니故로我所謂無物이라ᄒᆞᆷ은
[col 19] 不及ᄒᆞ면餒ᄒᆞᄂᆞ니故로我所謂無物이라ᄒᆞᆷ은
