# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 滄海居士
[author] 旭
[col 03] 느其를들어더鼠를捕捉ᄒᆞ엿다鼠는猫의來意를見ᄒᆞ고身을床隅에潜伏ᄒᆞ엿다가一躍에猫의左額을喰付ᄒᆞ엿다其氣像이完全히猛隼이孤兔를搏擊ᄒᆞᆷ과如ᄒᆞ다그러나屏間에其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
[col 04] 鼠가잇다듯건대其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다僕을待鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다양ᄒᆞ엿其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
[col 05] 다其氣像이完全히猛隼이孤兔를搏擊ᄒᆞᆷ과如ᄒᆞ다그러나屏間에其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
[col 06] 身을床隅에潜伏ᄒᆞ엿다가一躍에猫의左額을喰付ᄒᆞ엿다其氣像이完全히猛隼이孤兔를搏擊ᄒᆞᆷ과如ᄒᆞ다그러나屏間에其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다僕을待鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다양ᄒᆞ엿其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
[col 07] 鼠가잇다듯건대其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다僕을待鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다양ᄒᆞ엿其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
[col 08] 다其氣像이完全히猛隼이孤兔를搏擊ᄒᆞᆷ과如ᄒᆞ다그러나屏間에其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다僕을待鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다양ᄒᆞ엿其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
[col 09] 身을床隅에潜伏ᄒᆞ엿다가一躍에猫의左額을喰付ᄒᆞ엿다其氣像이完全히猛隼이孤兔를搏擊ᄒᆞᆷ과如ᄒᆞ다그러나屏間에其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다僕을待鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다양ᄒᆞ엿其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
[col 10] 鼠가잇다듯건대其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다僕을待鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다양ᄒᆞ엿其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
[col 11] 다其氣像이完全히猛隼이孤兔를搏擊ᄒᆞᆷ과如ᄒᆞ다그러나屏間에其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다僕을待鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다양ᄒᆞ엿其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
[col 12] 身을床隅에潜伏ᄒᆞ엿다가一躍에猫의左額을喰付ᄒᆞ엿다其氣像이完全히猛隼이孤兔를搏擊ᄒᆞᆷ과如ᄒᆞ다그러나屏間에其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다僕을待鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다양ᄒᆞ엿其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
[col 13] 鼠가잇다듯건대其吳金逸物의猫도다시手段을부리지못ᄒᆞ고ᄭᅩ리를交込ᄒᆞ고其足을纏綿ᄒᆞ야後方으로退却ᄒᆞ엿다나는其光景을보고忽發이上指ᄒᆞ야木刀를드러其를打殺코져ᄒᆞ엿다僕을待鼠는電光과如히突躍ᄒᆞ면서木刀를避ᄒᆞ야床을越ᄒᆞ며障子를破ᄒᆞ고二三尺의中空을突躍ᄒᆞ야逃亡ᄒᆞ엿다양ᄒᆞ엿其氣像의猛活ᄒᆞᆷ이얏트하면나의顔面々지도무러씨울듯ᄒᆞ다나는大汗을流ᄒᆞ고即時僕을불너말ᄒᆞ엿다듯건대楊柳樹村에無類逸物の名猫가잇다ᄒᆞ니其를三日限ᄒᆞ고借來ᄒᆞ라命ᄒᆞ엿다그터셔僕은即時其를비러왓
