# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 心의世界
[col 02] 虛ᄒᆞ고虛ᄒᆞ도다天象도虛ᄒᆞ고地象도虛ᄒᆞ고人象도虛
[col 03] 이여嗚呼라我ㅣ무엇으로써其虛ᄒᆞᆷ을知ᄒᆞᄂᆞ뇨蓋一
[col 04] 이無常ᄒᆞ고一切이常住치아니ᄒᆞᆷ으로써인더
[col 05] 夫天星辰이運行ᄒᆞ야永住치아니ᄒᆞ며風雨雲烟이出沒
[col 06] ᄒᆞ며固定치아니ᄒᆞ며大地山河가日로變ᄒᆞ야가며香丹衆
[col 07] 이時로變ᄒᆞ야가ᄂᆞ니嗚呼라神鬼의劇塲이여宇宙눈
[col 08] ᄒᆞ고天地도虛ᄒᆞ고一切妙法이皆虛ᄒᆞ고一切萬理가皆
[col 09] ᄒᆞ도다歸ᄒᆞ야人象을見ᄒᆞ라風丰玉茅의美容이나로枯退ᄒᆞ며
[col 10] 容月態의風光이時로萎謝ᄒᆞ며席捲大地의氣焰이終에
[col 11] 鳥波聲과共히呻吟ᄒᆞ며錦根擁屛의聲喧가末乃潯陽琵琶를注
[col 12] 파共히窮吠ᄒᆞ며[?]事[?]의無常[?]에[?]富貴도虛ᄒᆞ고名譽도
