# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[section] 理部
[author] 滄海居士
[col 03] 도虛ᄒᆞ고權威도虛ᄒᆞ도다
[col 04] 蓋一切果然ㅣ一切이虛ᄒᆞ고一切이無常ᄒᆞ진ᄃᆡ我ㅣ무엇으로써
[col 05] 出沒ᄒᆞ으랴我其一切物을親友를삼으며我ㅣ무엇으로써固定ᄒᆞᆫ戀愛를삼
[col 06] 丹象芳久의信約을寄코저ᄒᆞᆯ지라도其物은旣히根本에셔虛ᄒᆞ거
[col 07] 宙노虛ㅣ니其信約이엇지不變이되랴我又一物을把ᄒᆞ고此를眞實
[col 08] 가皆虛된戀愛라ᄒᆞ야此에永久의愛情을付ᄒᆞᆯ지라도其一物은又
[col 09] ㅣ根本에셔變ᄒᆞ야가며一切이根本에셔固定이라ᄒᆞ랴一切이
[col 10] 終에花根本에셔虛ᄒᆞ거니其愛情이엇지固定ᄒᆞᆯ지라도其一物은又
[col 11] 陽黃犬ᄒᆞ야所謂親도變ᄒᆞ야가며所謂愛도固定치아니ᄒᆞ고變
[col 12] 을注쾌ᄒᆞ는親과固定치못ᄒᆞᆯ愛는離日로其親愛가我의身邊에園
[col 13] ᄒᆞᆯ지라도무엇이그리有情ᄒᆞ리오我ㅣ今日로보ᄒᆞ랴我ㅣ一身
