# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 敎理部
[col 02] 力이有ᄒᆞ다ᄒᆞ면能히此를破壞ᄒᆞ고此를斷絕ᄒᆞᆫ後ㅣ更히
[col 03] 善ᄒᆞᆫ陋巷ㅣ善ᄒᆞᆫ齷齪을建築ᄒᆞᆯ수有ᄒᆞ나若ㅣ보다以上의
[col 04] 善ᄒᆞᆫ境界를建築ᄒᆞᆯ能力이업시徒히旣定의建築을破壞ᄒᆞ
[col 05] 면我는更히此陋巷으로更히甚ᄒᆞᆫ齷齪에墜ᄒᆞᆯ가恐ᄒᆞ
[col 06] 恐ᄒᆞ며此齷齪으로退轉ᄒᆞ야更히甚ᄒᆞᆫ齷齪가恐ᄒᆞ
[col 07] 도다哭ᄒᆞ며此를向上은무엇이그리眞實되며退轉은무엇이그
[col 08] 리虛僞가되야此를恐ᄒᆞ며此嫌避ᄒᆞᆯ가是不得己ᄒᆞ我의今
[col 09] 日이有ᄒᆞᆫ所以라此不得己ᄒᆞ我의今日이幾分抄의前程을
[col 10] 負ᄒᆞ엿는저눈不知ᄒᆞ되雖短ᄒᆞᆫ分抄일지라도此不得己가
[col 11] 有ᄒᆞ以上은哭ᄒᆞ면서라도哭ᄒᆞ면서라도齷齪
[col 12] 齷齪을續ᄒᆞ야今日의境界가盡ᄒᆞ는地頭를待ᄒᆞᆯ수外他道가
[col 13] 無ᄎᆞ아니ᄒᆞᆫ가
[col 14] 然ᄒᆞ면我의今日은生키爲ᄒᆞ야生ᄒᆞᆷ이아니오得己치못ᄒᆞᆯ
[col 15] 生命이有ᄒᆞ야生ᄒᆞ며樂이有ᄒᆞ야樂ᄒᆞᆷ이아니오得己치못
[col 16] ᄒᆞᆯ活動이有ᄒᆞ야樂ᄒᆞ이로다我ㅣ我의今日이不得己ᄒᆞᆷ
[col 17] 思ᄒᆞ니人의今日도亦得己가되리라我의今日이不得己
[col 18] ᄒᆞᆷ을思ᄒᆞ니物의今日도亦得己가되리라我눈彼街頭에
[col 19] ᄆᆞ하는乞食이飢ᄒᆞ눈가思ᄒᆞ니其乞食도乞食의背後에
[col 20] 遠히自濶ᄎᆞ아니ᄒᆞ [?] 寒을耐ᄒᆞ면서何故로其肉身을
