# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 心의世界
[col 02] 處ᄒᆞ고道ᄒᆞ도다天象도處ᄒᆞ고地象도處ᄒᆞ고人象도處
[col 03] ᄒᆞ여嗚呼라我ㅣ무엇으로써其處ᄒᆞ옴을知ᄒᆞ뇨上蓋一
[col 04] 이無常ᄒᆞ고一切이常住치아니ᄒᆞ옴으로써인뎌
[col 05] 大天星辰이運行ᄒᆞ야永住치아니ᄒᆞ며風雨霜雪이出沒
[col 06] ᄒᆞ야固定치아니ᄒᆞ며大地山河가日月로變ᄒᆞ야가며香丹衆
[col 07] 이時로變ᄒᆞ야가나니嗚呼라神明의劇場이여宇宙노
[col 08] ᄒᆞ고天地도處ᄒᆞ고一切妙法이皆處ᄒᆞ고一切萬理가皆
[col 09] 會ᄒᆞ도다
[col 10] 嗚呼라人象을보건대風雨玉芋의美容이日로枯退ᄒᆞ며
[col 11] 霜月態의風光이時로萎靡ᄒᆞ며席捲大地의氣焰이終에
[col 12] 烏沒聲과共히呻吟ᄒᆞ며一呵町吼의權威가畢竟咸陽黃
[col 13] 과共히剪滅ᄒᆞ며幢幢樓閣의鑿峙가未乃鴻濛琵琶를注
[col 14] ᄒᆞ고千古時人의事가無常히富貴도煙花요功名도浮雲이
