# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 敎理部
[col 02] 力이有ᄒᆞ다ᄒᆞ면能히此를破壞ᄒᆞ고此를斷絕ᄒᆞ고後ㅣ更히
[col 03] 善ᄒᆞ고陋巷ㅣ善ᄒᆞ고齷齪을建築ᄒᆞᆯ수有ᄒᆞᆫ若ㅣ보다以上의
[col 04] 善ᄒᆞ고境界를建築ᄒᆞᆯ能力이업시徒히既定의建築을破壞ᄒᆞ
[col 05] 면我ᄂᆞᆫ更히此陋巷으로退轉ᄒᆞ야야更히其陋巷에落홈가
[col 06] 恐ᄒᆞ며此齷齪으로退轉ᄒᆞ야야更히其齷齪에墜홈가恐ᄒᆞ
[col 07] 도다突客다向上은무엇이그리眞實이며退轉은무엇이그
[col 08] 리虛僞가되야此를恐ᄒᆞ며此를嫌避ᄒᆞᆯ가是不得已ᄒᆞᆫ我의今
[col 09] 日이有ᄒᆞᆫ所以呀此不得已ᄒᆞᆫ我의今日이幾分秒抄의前程을
[col 10] 負ᄒᆞ엿ᄂᆞᆫ지ᄂᆞᆫ不知ᄒᆞ되雖短ᄒᆞ고分秒抄일지라도此不得已가
[col 11] 有ᄒᆞᆫ以上은哭ᄒᆞ면서라도陋巷을保ᄒᆞ며哭ᄒᆞ면서라도齷
[col 12] 齪을擁ᄒᆞ야今日의境界가盡ᄒᆞᄂᆞᆫ地頭를待ᄒᆞᆯ수外他道가
[col 13] 無ᄒᆞᆫ아니온가
[col 14] 然ᄒᆞ면我의今日은生키爲ᄒᆞ야生홈이아니오得已치못ᄒᆞᆫ
[col 15] 生命이有ᄒᆞ야生ᄒᆞᆫ娛樂이有ᄒᆞ야樂홈이아니오得已치못
[col 16] ᄒᆞᆫ活動이有ᄒᆞ야樂홈이로다我ㅣ我의今日이不得已홈을
[col 17] 思ᄒᆞ니人의今日도亦不得已가되리라人의今日이不得已
[col 18] 홈을思ᄒᆞ니物의今日도亦不得已가되리라我ᄂᆞᆫ彼街頭에轉
[col 19] 丐ᄒᆞᄂᆞᆫ乞食이飢를恐ᄒᆞ며寒을辭ᄒᆞ면서何故로其肉身을
[col 20] 遺棄自滅치아니ᄒᆞᄂᆞᆫ가思ᄒᆞ니其乞食도乞食의背後에不
[col 21] 得已ᄒᆞᆫ理가有ᄒᆞᆯ지오三日을굶고一日을먹고一週日을굶
