# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 講演
[col 02] 의相이니故로一喜一憂ㅣ環에踢이無ᄒᆞ고吾世
[col 03] 의常態니라然ᄒᆞ되轉變의相을離ᄒᆞ야此生과如ᄒᆞ
[col 04] 은是因果를燈無ᄒᆞ눈者니라大抵因果的眞理눈嚴然히
[col 05] 明鏡에物을照ᄒᆞ고갓타야毫末의疑晝此에挿ᄒᆞᆯ바업나니
[col 06] 一切衆生은此苦界에頭出頭沒ᄒᆞᆷ으로써天主大悲의本願
[col 07] 을非議ᄒᆞᆯ만ᄒᆞᆫ權利가無ᄒᆞ도다
[col 08] 余ㅣ思컨더衆生의存在ᄂᆞᆫ衆生自己의業感에由ᄒᆞᆫ者되
[col 09] 리라彼等의今日은彼等의無始劫來로轉受轉感ᄒᆞᆫ所爲
[col 10] 의權化에不過ᄒᆞ도다善因善果惡因惡果大天의鐵
[col 11] 案인더敢히逾越키不能ᄒᆞ니라故로我의業은我의所作
[col 12] 報의理數ᄂᆞᆫ器界에行ᄒᆞᆯ뿐만아니오도ᄒᆞ寶로心界의原
[col 13] 則이니라
[col 14] 羞大性無量光은一切有情世界의光明이니我等은實로
[col 15] 此光明을追ᄒᆞ야前進ᄒᆞᄂᆞᆫ天主눈我等을若海의浮沈으
[col 16] 로부터救ᄒᆞ야大性無量光이其의本願이라浮
[col 17] 沈其者ᄂᆞᆫ我等의自業自得이니라然ᄒᆞᆫ吾等衆生에ᄂᆞᆫ
[col 18] 此光明의願力을悟ᄒᆞᄂᆞᆫ者ㅣ多ᄒᆞ도다斯와如ᄒᆞ不
[col 19] 覺의迷闇에出入ᄒᆞᄂᆞ니若項門一雙眼이有ᄒᆞᆫ者ᄂᆞᆫ
[col 20] 中에人이되ᄂᆞ니若項門一雙眼이有ᄒᆞᆫ者ᄂᆞᆫ此生死의
