# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 雜俎
[col 02] 本來에光明이煌耀ᄒᆞ야三千大千世界를照破ᄒᆞᄂᆞ衆
[col 03] 生은此를仰ᄒᆞ야其歸趣를知ᄒᆞ고ᄡᅥ安心立命의地를定ᄒᆞ
[col 04] 며精進不退의信을成就ᄒᆞᄂᆞ니라
[col 05] 大性無量光은我執性이아니며又他의崇敬을不求ᄒᆞ
[col 06] 며他의景仰을不望ᄒᆞᄂᆞ니彼ᄂᆞᆫ耶天이아니며梵天
[col 07] 이아니며夜摩天이아닙으로써大性無量光은一切
[col 08] 萬法에依ᄒᆞ야ᄡᅥ法則ᄒᆞᄂᆞ바萬法이此에由ᄒᆞ야動ᄒᆞᄂᆞ
[col 09] 故로因果의理ㅣ歷然ᄒᆞ야不亂ᄒᆞᄂᆞ니四時行ᄒᆞ며
[col 10] 萬物이成ᄒᆞ고鳶은飛ᄒᆞ야天에戾ᄒᆞ고魚ᄂᆞᆫ躍ᄒᆞ야淵
[col 11] 에在ᄒᆞᄂᆞ千差萬別의中을貫ᄒᆞ야琴瑟相和ᄒᆞᄂᆞ底의消息
[col 12] ㅣ醞釀然히見ᄒᆞ만ᄒᆞᆷ은美ᄒᆞ다畢竟此大性無量光의活動
[col 13] 인뎌
[col 14] 我等의罪果ᄂᆞᆫ大性의所造가아니오各自의自業自得
[col 15] 이니라그러ᄒᆞ야此果報를得來ᄒᆞᆯ所以原動은無明卽迷
[col 16] 의業力에在ᄒᆞᆫ所以니動言과如ᄒᆞ나然이나其動宮에來
[col 17] ᄒᆞᄂᆞ處ㅣ無ᄒᆞ고此ᄒᆞᄂᆞ處ㅣ無ᄒᆞ야原定不動이此와如ᄒᆞ
[col 18] 故로業力의發動도原來無明의一念에在ᄒᆞ도다然이나
[col 19] 其가一度萬法의上臨來ᄒᆞ면ᄯᅩᆫ得大性無量光에攝取되
[col 20] 야一起二伏一動一靜悉皆此法力에引導되야進退ᄒᆞ
[col 21] ᄂᆞ니ㅣ黃兒가慈母의게[?]育되며
