# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 光演
[author] 白頭山人
[col 03] 邊精進無窮의法界를造成ᄒᆞ고一切衆生의運命을司
[col 04] ᄒᆞ者라ᄒᆞ면何故로此世로써本來無苦無憂의極樂으로
[col 05] 造成치아니ᄒᆞ엿는가自古多聖이生의苦로써苦의始라ᄒᆞ
[col 06] 엿나니此눈吾人의經驗으로見ᄒᆞ야도不可避의惡論됨
[col 07] 을知ᄒᆞᆯ지라此見地로써論ᄒᆞ면如何히自己를取扱
[col 08] ᄒᆞ다할지라도此生을續ᄒᆞᆷ은到底히此苦海에浮沈치
[col 09] 아니홈이不可ᄒᆞ도다不知커라此大慈大悲의上帝가何
[col 10] 故無辜의民이自招치아니ᄒᆞᆫ無端의苦를與ᄒᆞ시ᄂᆞ뇨是
[col 11] 一天主의本願力과相容치못홈이아니냐君이여願컨대
[col 12] 此疑를解ᄒᆞ여라
[col 13] 余一默然이答曰嗚呼-我-有爲의敎友여人生이與愛
[col 14] 患俱生이라故로生即苦의眞義는苟-心이有ᄒᆞᆫ者-皆認
[col 15] 信不疑者-아니냐離合集散의變遷不止홈은是即生
[col 16] 想在無
