# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 雜俎
[col 02] 本來光明이煌耀ᄒᆞ야三千大千世界를照破ᄒᆞ니衆
[col 03] 生은此를仰信ᄒᆞ야其歸趣를知ᄒᆞ고州安心立命의地를定ᄒᆞ
[col 04] 며精進不退의信을成就ᄒᆞᄂᆞ니라
[col 05] 大性無量光은我執性이아니며又他의崇敬을不求ᄒᆞ
[col 06] 며他의景仰을不望ᄒᆞᄂᆞ니彼ᄂᆞᆫ耶天이아니며梵天
[col 07] 이아니며夜摩天이아님으로써라大性無量光은一切
[col 08] 萬法에依ᄒᆞ야써法則ᄒᆞᄂᆞᆫ바萬法이此에由ᄒᆞ야動ᄒᆞᄂᆞᆫ
[col 09] 故로因果의理一歷然ᄒᆞ야不亂ᄒᆞᄂᆞ니四時行ᄒᆞ며
[col 10] 萬物이成ᄒᆞ고蟲飛魚躍ᄒᆞ야天에戾ᄒᆞ고魚ᄂᆞᆫ淵에ᄒᆞ며淵
[col 11] 에在ᄒᆞ니千差萬別의中을貫ᄒᆞ야緊張相和ᄒᆞᄂᆞᆫ底의消息
[col 12] 一歷隱然히見ᄒᆞᆯ만큼은美善다畢境此大性無量光의活動
[col 13] 인뎌
[col 14] 我等의罪果ᄂᆞᆫ大性의所造가아니오各自의自業自得
[col 15] 이니라그리고ᄒᆞ야此果報를得來홈所以原動은無明卽迷
[col 16] 의業力에在ᄒᆞᆯ所以ᄂᆞᆫ前言과如ᄒᆞ나然이나其動宮에來
[col 17] ᄒᆞᄂᆞᆫ處一無ᄒᆞ야止ᄒᆞᄂᆞᆫ處一無ᄒᆞ야原定不動이此와如ᄒᆞᆫ
[col 18] 故로業力의發動도原來無明의一念에在ᄒᆞ도다然이나
[col 19] 其가一度萬法의上에臨來ᄒᆞ면문득大性無量光에攝取되
[col 20] 야一起一伏一動一靜悉皆此法力에引導되야非進退克
[col 21] [?]事一[?]見外[?]無有되리니[?]父引[?]則[?]到[?]母再[?]
