# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 天書
[col 02] 大神師ㅣ慶州로부터龜山에移居ᄒᆞ시僅히草廬數間의
[col 03] 習에서其樂을不改ᄒᆞ더니時ᄂᆞᆫ正히乙卯春二月ㅣ곳大
[col 04] 神師ㅣ三十二歲의時라大神師ㅣ草堂에在ᄒᆞ야從容히
[col 05] 書를看하시더니時에異僧이至ᄒᆞ야大神師曰貧
[col 06] 道ㅣ金剛山ㅣ楡岾寺에在ᄒᆞ면셔百日祈佛의禮ᄒᆞ야學ᄒᆞ
[col 07] 고偶然히塔下에셔小眠하다가起ᄒᆞ즉異書ㅣ塔에在
[col 08] ᄒᆞ지라試ᄒᆞ야其內容을見ᄒᆞ즉字劃書義ㅣ塵世에創見
[col 09] ᄒᆞ바오兄智의易解룰不바아니라故로是書의解者룰求코
[col 10] 져ᄒᆞ야殆히萬地룰遍蹈ᄒᆞ엿더니今에公을見ᄒᆞ고
[col 11] 음으로是書의有傳을知ᄒᆞ엿노니請컨딕公은其眞을靈
[col 12] 會사天賜룰負지勿ᄒᆞ소셔大神師ㅣ其書룰納ᄒᆞ야見
[col 13] ᄒᆞ즉果ㅣ儒佛仙家流의見치못ᄒᆞ든바라이에僧다려
[col 14] 謂ᄒᆞ야曰아직案에留ᄒᆞ야두라僧이曰三日後에再來ᄒᆞ리
[col 15] 神師ㅣ其書義룰解答ᄒᆞ든디期에及ᄒᆞ에僧이果來ᄒᆞ지라大
[col 16] 로다不然이면엇지이一部의天眞을理會ᄒᆞ리오公은珍
[col 17] 廬ᄒᆞ소셔大神師ㅣ是書룰據ᄒᆞ니果然天書됨을知ᄒᆞ지
[col 18] 라書中에四十九日祈天의義ㅣ잇ᄂᆞᆫ故로擬ㅣ意룰決ᄒᆞ
[col 19] 니라
