# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 敎理部
[title] 得道
[col 03] 過時之男兒로셔虛送歲月ᄒᆞ엿도다人間萬事行ᄒᆞ다
[col 04] 居然四十되엿더라龜尾龍潭차자오니
[col 05] 물소리고놉ᄒᆞᄂᆞᆫ山이로다山川은依舊ᄒᆞ고草木
[col 06] 은會憎ᄒᆞ니不孝ᄒᆞ이ᄂᆡ마암悲盛懷心절노ᄂᆞᆫ다可
[col 07] 憐ᄒᆞ다이ᄂᆡ父親餘慶이야업슬손아妻子불너曉喩ᄒᆞ
[col 08] 고이런구러지ᄂᆡ나니天運이罔極ᄒᆞ야庚申四月도
[col 09] 라왓다 ᄒᆞ엿더라
[col 10] 庚申四月五日은곳大神師의得道의日이라伊日에大神
[col 11] 師ㅣ心寒身戰ᄒᆞ야疾不得症言不得難의際ㅣ운득仙師
[col 12] 語ㅣ이셔耳中에入ᄒᆞ거늘驚起探問則ᄀᆞᆯ오ᄉᆞᄃᆡ世人
[col 13] 이我를上帝라謂ᄒᆞ거늘汝ㅣ上帝를不知ᄒᆞ나其ㅣ
[col 14] 所然을무론이되갈아ᄉᆞᄃᆡ나도道功이업ᄂᆞᆫ故로汝
[col 15] 世間에生게ᄒᆞ야此法을敎케ᄒᆞ오렛가曰不然ᄒᆞ다吾ㅣ
[col 16] ㅣ然ᄒᆞ면西道로써人을敎ᄒᆞ오렛가曰不然ᄒᆞ다ᄉᆞᄉᆞᄉᆞ曰
[col 17] 靈符ㅣ잇스니其名은仙藥이오其形은太極이오又形은
[col 18] 弓乙이니라我의此符를受ᄒᆞ아人의疾病을濟ᄒᆞ고我의
[col 19] 此文을受ᄒᆞ되我를爲케ᄒᆞ면汝ㅣ또ᄒᆞᆫ長生
[col 20] ᄒᆞ야德을天下에布ᄒᆞ리라論學文에曰身에戰寒이有
[col 21] ᄒᆞ야外로接靈의氣ㅣ잇고內로降話의敎ㅣ잇ᄂᆞᆫ지라視
