# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 講演
[col 02] 고草昧의人類가穴居狀態로進化ᄒᆞ야今日數十階
[col 03] 의大廈巨樓와文明社會의狀態로進ᄒᆞ얏도다呱々의聲
[col 04] 으로襁褓의裡에蠢動ᄒᆞ든嬰兒가成長ᄒᆞ야大人이되며
[col 05] 無智蒙昧의野蠻人民이敎育을受ᄒᆞᆫ結果文明의活動
[col 06] 을ᄒᆞᆷ은全히造化主의御旨라ᄒᆞᆯ지라然ᄒᆞᆫ즉人類의體
[col 07] 軀도此進化의理法의洩지아니ᄒᆞᆷ으로不完全의狀態
[col 08] 로부터徐々히今日完美의域에至ᄒᆞᆫ것은事實이로다
[col 09] 人類의進化
[col 10] 人類가下等動物으로부터進化ᄒᆞ얏다ᄒᆞᆷ은決코人類의恥辱
[col 11] 이아니오寧히人類의光榮이라ᄒᆞ리라元來下等動物
[col 12] 이든것이漸々進化ᄒᆞᆫ後一靈妙-人目을眩케ᄒᆞ며奇工이
[col 13] 鬼神을驚케ᄒᆞ는身體가되야玆에上帝가御臨커시든
[col 14] 是實로神의大理法인뎌神은自己의住所를建築키爲ᄒᆞ
[col 15] 야幾億萬年間長歲月을費ᄒᆞ야처음으로그住所를得
[col 16] 중이도다
[col 17] 靈魂의不滅
[col 18] 學術의進步今日에至ᄒᆞ야도靈魂不滅을疑ᄒᆞ는者와
[col 19] 도다過去幾年間一豫言者의夢想으로學者의空想으
