# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 略史及敎理(續)
[author] 敎理部
[col 03] 大神師―第一回說法을開ᄒᆞ니曰
[col 04] 余의ㅣ世가於焉四十이로다自見時의事를歷ᄉ히回顧
[col 05] 컨대夫抵人間百千萬事―行ᄒᆞ니其然이오經ᄒᆞ니若生
[col 06] 인더[?]呼―其中에所業成功이一無ᄒᆞ얏도다於是에四
[col 07] 十年舊安原稿를一筆로抹殺ᄒᆞ고胸中所懷를一笑의下
[col 08] 에擲殷ᄒᆞᆫ後―一世를環顧컨대時運이大革일서余―
[col 09] 이에龜尾龍潭으로還棲ᄒᆞ얏노라自後로盟誓를重히ᄒᆞ
[col 10] 고決心을堅히ᄒᆞ後―山外에不出ᄒᆞ고다만安貧樂道로
[col 11] ᄡᅥ一身을自慰ᄒᆞ얏노라余―默히思컨대天이萬民을生
[col 12] ᄒᆞ앗거니반다시其職을授ᄒᆞᆯ것이오命이天에在ᄒᆞ얏거
[col 13] 니死生이엇지偶然ᄒᆞ리오然ᄒᆞ면余의運이비록塞ᄒᆞ고
[col 14] 余의業이비록敗ᄒᆞ얏슬지라도此에何憂가有ᄒᆞ며何患
[col 15] 이有ᄒᆞ랴余又運回를察컨대盛衰榮枯ᄂᆞᆫ常히循環不已
[col 16] ᄒᆞ도다因ᄒᆞᆫ果―有ᄒᆞ나니故로現今의富貴ᄂᆞᆫ前
[col 17] 日의勞苦로부터來ᄒᆞᆷ이오今日의勞苦ᄂᆞᆫ更히後日福祿
[col 18] 의原因이니余―엇지一時의苦로天運의循環을逆數ᄒᆞ
