# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[author] 白頭山人
[col 02] 리오況又吾家는累代積善積德이라餘慶이豈無ᄒᆞ랴彼
[col 03] 世人이雖誹謗으로余의今日을責ᄒᆞ며怨望으로余의現
[col 04] 在를毁ᄒᆞ되余ㅣ旣히定筭이有ᄒᆞ고決心이生ᄒᆞ엿스니
[col 05] 無識의毁譽褒貶이余에게何關ᄒᆞᆯ바잇슬ᄯᅡ但余의實行
[col 06] ᄒᆞ바는安貧樂道이며修身齊家라ᄒᆞ엿ᄂᆞ니是余의最近
[col 07] 의思想이엿노라如是七八朔之間에夢인가覺인가恍惚
[col 08] 冥想의間에서此無極大道를受ᄒᆞ엿노라嗚呼前後萬古
[col 09] 를思컨대文도無ᄒᆞ고言도無ᄒᆞ도다大地에億兆ㅣ人이
[col 10] 多치안임이아니며累千年의儒佛ㅣ運이衰치안임은아
[col 11] 니로되輪回가치ㅣ通ᄒᆞᆯ運數ㅣ我ㅣ엇지特受ᄒᆞ엿스며
[col 12] 滿世界의億兆ㅣ我ㅣ엇지獨會ᄒᆞ엿스며이世上에잇는人
[col 13] 格ㅣ我ㅣ엇지特有ᄒᆞ엿든가人格을擇ᄒᆞᆯ진ᄃᆡ我에셔劣
[col 14] ᄒᆞ者ㅣ何有ᄒᆞ며才質을論ᄒᆞᆯ진ᄃᆡ我에셔劣ᄒᆞ者ㅣ何有
[col 15] ᄒᆞ이오然이나天이命ᄒᆞ신바라奈何키不能ᄒᆞ도다비록
[col 16] 辭讓의心이有ᄒᆞ나疑問議의心이有ᄒᆞ나何處에向ᄒᆞ
[col 17] 야其意를陳述ᄒᆞ랴片言隻字ㅣ無ᄒᆞᆫ法을何處에셔其本
