# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 을見ᄒᆞ며非古非今大ᄒᆞ理를何地에셔其員을得ᄒᆞ엿는
[col 03] 가黙히思컨딕곳친字號ㅣ彷彿ᄒᆞ고곳친名字ㅣ分明ᄒᆞ
[col 04] 도다余ㅣ此를黙히皇天에訴ᄒᆞ니天이有言ᄒᆞ샤曰「너
[col 05] 도ᄯᅩᄒᆞᆫ人이엿나니무엇을知ᄒᆞ엿슬아各心의億兆ㅣ同
[col 06] 歸一體ᄒᆞ는줄을四十平生에始知ᄒᆞ엿든가笑哉余의過
[col 07] 去여百千萬事行ᄒᆞᆯ時는何意味로其然ᄒᆞ엿스며入山ᄒᆞ
[col 08] 其日브터字號名字곳칠쩍는何意味로其然ᄒᆞ엿든가所
[col 09] 謂立春비는時는屬穌은아니빌고何等經綸抱負잇셔다
[col 10] 間衆人不同歸라疑心업시지어니의完然이부쳐스니世
[col 11] 上사롱구경ᄒᆞᆨ에余의心事ㅣ如何튼가그린脾胃엿슬世
[col 12] 두고萬古업는無極大道ㅣ바다못코자랑ᄒᆞ니그아니奇
[col 13] 밧ᄒᆞ냐
[col 14] 世上사람도라보니만코만은其사람에人氣才質가려니
[col 15] 이聰明齒鈍무엇시며世上사랑져러ᄒᆞ랴疑評歎息무슴
[col 16] 일고남만못ᄒᆞᆫ人物인줄汝엿지知ᄒᆞ엿스며남만못ᄒᆞᆫ才
[col 17] 質인줄汝ㅣ엇지知ᄒᆞ엿든고그런소리마라셔落地後
[col 18] 처음이라ᄎᆡᆨᄒᆞᆯ키인줄노코胞胎之數ㅣ定해늬며自兒
[col 19] 時자라날떡ᄒᆞ는일을너모를아格致萬物ᄒᆞ는法과百千
[col 20] 萬事行ᄒᆞ기를造化中에시거스나萬古人物네아니냐
[col 21] 오ᄉᆡᆼ각두지말고正心修道ᄒᆞ여셔라시겁ᄃᆡ로施行ᄒᆞ야
