# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 敎理部
[col 02] 方乃知仙藥矣、到此用病則或有差不差、故莫知其端、
[col 03] 察其所然則誠之又誠、至爲天主者、每々有中、不順道
[col 04] 德者、一々無驗、此非受人之誠敬耶
[col 05] 是故我國、惡疾滿世、民無四時之安、是亦傷害之數也、
[col 06] 西洋戰勝攻取、無事不成而天下盪滅、亦不無唇亡之嘆
[col 07] 輔國安民、計將安出、惜哉、於今世人、未知時運、聞我
[col 08] 斯言則、入則心非、出則巷議、不順道德、其可畏也、賢
[col 09] 者、聞之、其或不然而吾將慨嘆、世則無奈、忘略記出、
[col 10] 論而示之、敬受此書、欽哉訓辭。
[col 11] 是歲六月十日에大神師ㅣ浩然히南征의意ㅣ有ᄒᆞ야已決
[col 12] ᄒᆞ신지라不日登程코저ᄒᆞ시던因ᄒᆞ야曰近日一道에入ᄒᆞ는者可
[col 13] 히쌔毛羽未成이라ᄒᆞ고지미타귀將次此를敎導ᄒᆞ야써其에入
[col 14] 케ᄒᆞᆯ가然이나天命이마치違치못ᄒᆞᆯ지라ᄒᆞ시고遂ㅣ湖南으
[col 15] 로向ᄒᆞ야星州를過ᄒᆞ다가李忠武公廟에拜ᄒᆞ고南原에至
[col 16] ᄒᆞ야十餘日을留ᄒᆞ야當의山水風土人心風俗을視察ᄒᆞ
[col 17] 고因ᄒᆞ야아門弟崔仲義를帶同ᄒᆞ고方々谷々을踏ᄒᆞ야隱寂
[col 18] 巷에到ᄒᆞ니라
