# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[author] 滄海居士
[col 02] 를흘너내려增嘉殿名勝을둘너싸가지고永興灣ㅣ거
[col 03] 울갓흔滄浪속에合ᄒᆞ엿ᄯᅳ렷다나ᄂᆞᆫ只今龍興江다리우
[col 04] 에안져懷慨無量의懷古를禁키어려웟다·龍興江은李
[col 05] 朝太祖의誕降하신地라ᄒᆞᆫ다烏飛兎走ㅣ어ᄂᆞ덧五百年
[col 06] 前ㅣ絕世의謀略ᄒᆞ신關北의精氣를한몸에結晶ᄒᆞ야
[col 07] 荒凉蒼凉ᄒᆞᆫ濬源殿ㅣ李太祖ㅣ關北의精氣를한몸에結晶ᄒᆞ야
[col 08] ㅣ今日에안져뒤라셔萬斛의淚를이에ᄲᅮ리지아니ᄒᆞ랴
[col 09] 關中帝子今安在檻外長江空自流傑人에자최ᄂᆞᆫ다시
[col 10] 거둘곳업고다만나마보이ᄂᆞᆫ것은濬源殿古閣이鬱蒼
[col 11] ᄒᆞᆫ老松속에구름갓치잠겻난ᄃᆡ두어마리쇼리개와
[col 12] 못처
[col 13] 렷다ㆍ눈
[col 14] 式ㆍ눈
[col 15] 호ᄂᆞ
[col 16] 江아흘너라쇼리개야나라라萬億兆의大悲劇ㅣ너히
[col 17] 호께에가마귀가干古의精靈들우러흘뿐이엇다
[col 18] 아흘너라쇼리개야나라라萬億兆의大悲劇ㅣ너히
[col 19] 로더부러거의一部慰安을어덧다
[col 20] 一行은도모지五六人에지내지아니ᄒᆞᆫ다區長金晃濱君은
[col 21] 當年三十五六의壯年紳士로天民을爲ᄒᆞ야獻身ᄒᆞᄂᆞᆫ宗敎
