# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 署史及敎理 (其三)
[col 02] 大神師ㅣ隱寂菴에居ᄒᆞ야專히煉性修心으로業을삼아於焉
[col 03] 歲聿이旣暮ᄒᆞ야臘月을當ᄒᆞ얏난지라各地門徒ㅣ照應의
[col 04] 情을禁키難ᄒᆞ야修道의義로遠히書를門徒에게寄ᄒᆞ니其
[col 05] 槪要에曰
[col 06] 嗚呼諸君아我ㅣ天運이罔極ᄒᆞ야無極大道를受ᄒᆞᆫ以來
[col 07] ㅣ龜尾龍潭好風景에安貧樂道로써此生을慇懃ᄒᆞ다가時
[col 08] 運이有助ᄒᆞ야세遠近의賢士ㅣ道를修ᄒᆞ고業을舍受ᄒᆞᆷ에至
[col 09] ᄒᆞ야는是ㅣ一余의樂中又樂이엇도다我의淺見薄識으로
[col 10] 써諸君을敎ᄒᆞ고導ᄒᆞ다가不意에此行이有케되도소이다
[col 11] 天命이라忽然千里相分에잇지照應의情이相無ᄒᆞ야라實
[col 12] 淑ᄒᆞ諸君이여吾道의要는誠敬二字를守ᄒᆞ야修終에道成
[col 13] 德立을期ᄒᆞᆷ에在ᄒᆞ도다淵源
[col 14] 이卽其淵源이며道通이타ᄒᆞᆷ은此를孔子의道로言ᄒᆞ면
[col 15] 一貫의心法으로써身에六藝를通ᄒᆞᆷ이라故로七十二
[col 16] 人의道通者ㅣ一出ᄒᆞ야變ᄒᆞ야百秋以來一貫을相傳ᄒᆞᆷ은是도至
[col 17] 誠無息의工夫ㅣ오此心을擴充ᄒᆞ야天下萬方에達ᄒᆞᆷ은是
[col 18] 도至誠無息의工夫ㅣ라故로孔子의道는一貫이오曾子의
[col 19] 道는忠恕ㅣ오子思의道는誠이오孟子의道는盡心知性이
[col 20] 라此四子의道ㅣ各別이아니오一貫의道ㅣ라故로孔子ㅣ
[col 21] 謂曾子曰吾道一以貫之라ᄒᆞ시니曾子ㅣ曰唯라ᄒᆞ야門人
[col 22] 에게告ᄒᆞ야曰夫子之道忠恕而已矣라ᄒᆞ시니此는孔子의
[col 23] 一貫心法을曾子ㅣ忠恕로써解說ᄒᆞᆷ이오子思ㅣ中庸에
[col 24] 曰誠者天之道也誠之者人之道也라ᄒᆞ시니此는曾子의忠
[col 25] 恕를誠으로써解說ᄒᆞᆷ이오孟子ㅣ曰盡其心者知其性也
[col 26] 知其性則知天矣라ᄒᆞ시니此는子思의誠을盡心知性으로
[col 27] 써解說ᄒᆞᆷ이라故로孔孟의道ㅣ一貫의道ㅣ오曾思의道
[col 28] ㅣ亦是ㅣ一貫의道ㅣ라故로孔子ㅣ一貫의道를曾子에게
[col 29] 傳ᄒᆞ시고曾子ㅣ此道를子思에게傳ᄒᆞ시고子思ㅣ此道를
[col 30] 孟子에게傳ᄒᆞ시니此四子의道ㅣ一貫의道ㅣ라故로孔子
[col 31] 의道ㅣ孟子에至ᄒᆞ야大成이라ᄒᆞᆷ은此를謂ᄒᆞᆷ이라故로
[col 32] 孔子의道를知코자ᄒᆞᆯ진대孟子를舍ᄒᆞ고何處에셔求ᄒᆞ리
