# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 略史及教理
[col 02] 修德文
[col 03] 元亨利貞、天道之常、惟一執中、人事之察、故生而知之
[col 04] 夫子之性質、學而知之、先儒之相傳、雖有困而得之、淺
[col 05] 見薄識、皆由於吾師之聖德、不失於先王之古禮、余、出
[col 06] 自東方、無聊度日、僅保家聲、未免寒士、先祖之忠義、
[col 07] 節有餘於龍山、吾王之聖德、歲復回於壬丙、若是除蔭、
[col 08] 不絶如流家君出世、名益一道、無不士林之共知、德承
[col 09] 六世豈非子孫之餘慶、噫、學士之平生、光陰春夢、年至
[col 10] 四十、工知芭籬之邊物、心無靑雲之志、一以作歸去來
[col 11] 之辭、一以咏歸非是之句、携筇理履、悅若處士之行、山
[col 12] 高水長、莫非先生之風、龜尾之奇峰怪石、月城金鰲之
[col 13] 北龍湫之清潭寶溪、古都馬龍之西、園中桃花、恐知漁
[col 14] 子之舟、屋前滄波意、在太公之釣、臨臨池塘、無違濂溪
[col 15] 之志、亭畔龍潭豈非羲寫之心難禁歲月之如流、哀臨一
[col 16] 日之化仙、孤我一命、年至二八、何以知之、無異童子、
[col 17] 先考平生之事業、無痕於火中子孫不肖之餘恨、落心於
