# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 活動主義의道德
[author] 教理部
[col 03] 何故로如斯ᄒᆞ組織이잇ᄂᆞᆫ宇宙의間에何故로如斯ᄒᆞ性
[col 04] 쥬가진人生이遊々ᄒᆞᄂᆞᆫ가思친대此ᄂᆞᆫ吾人의知力에屬
[col 05] 問題가안일듯ᄒᆞ다다못吾人의事實問題로表頭된人
[col 06] 觀은生ᄒᆞᆷ으로其始라ᄒᆞ고死ᄒᆞᆷ으로其終이라ᄒᆞᆯ뿐이
[col 07] 러서生死兩間을標準ᄒᆞ야人生一代의幸福時期라ᄒᆞᆯ뿐이
[col 08] 이다吾人은其生을任意로못ᄒᆞᆷ과갓치其死를또ᄒᆞᆫ自
[col 09] 로못ᄒᆞ나니故로엇지ᄒᆞ야生ᄒᆞ엿든지旣히生ᄒᆞᆫ以上은
[col 10] 生을保存키爲ᄒᆞ야活動ᄒᆞᆷ으로써其本務를삼지안니치못
[col 11] 리라吾人의意識의原泉이生命되ᄆᆡ共히生命의源泉
[col 12] 即活動이라ᄒᆞᆯ것이다活動이存ᄒᆞ處에世界가存ᄒᆞ고
[col 13] 動이存ᄒᆞ處에人生이存ᄒᆞᆯ것이다萬一人生의全面으로
[col 14] 動을除ᄒᆞ고보면其ᄂᆞᆫ어ᄂᆞ듯枯塚이며北邙일것이다
[col 15] 生은活動을本位로ᄒᆞ야처음으로千差萬別의組織的知識의必[?]
[col 16] ᄆᆡ千差萬別의組織에因ᄒᆞ야처음으로道德的知識의必[?]
[col 17] 를國ᄒᆞᄂᆞ니故로活動은即道德의源泉이며道德은即生活
