# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[author] 滄海居士
[col 02] 니라動勉ᄒᆞᄂᆞᆫ者力行ᄒᆞᄂᆞᆫ者淸介ᄒᆞᆫ者ᄂᆞᆫ世界의神
[col 03] 의게歡迎을受ᄒᆞᆯ지오懶惰ᄒᆞᆫ者放逸ᄒᆞᆫ者偸安苟且ᄒᆞᆫ
[col 04] 者ᄂᆞᆫ人間社會의螮蠓의材料가될지니라
[col 05] 幾多의不幸災厄은吾人人類를驅ᄒᆞ야向上進步의路에
[col 06] 餘儀가無키爲ᄒᆞ야設ᄒᆞᆫ바要具됨을忘치勿ᄒᆞ라勿論人
[col 07] 은肉躰의慾求에被壓ᄒᆞ며動物性衝動에興奮되야多少間
[col 08] 其心身의困勞가無ᄒᆞᆷ이안이나然이나此ᄂᆞᆫ즉人의人
[col 09] 된本務를覺치못ᄒᆞᄂᆞᆫ野性에因ᄒᆞᆫ者이오實際에至ᄒᆞ야ᄂᆞᆫ
[col 10] 如何ᄒᆞᆫ人일지라도多少其質間에善ᄒᆞᆯ理想의念이髣髴치
[col 11] 안인者ㅣ無ᄒᆞ리라吾人으로時々ㅣ新ᄒᆞᆫ眞理에向ᄒᆞ야
[col 12] 苦鬪ᄒᆞ라警告ᄒᆞᄂᆞᆫ覺悟와決心과勇氣를告캐ᄂᆞᆫ者ᄂᆞᆫ思
[col 13] 컨딕此心中에存ᄒᆞᆫ理想의崩芽라ᄒᆞᆯ지로다
[col 14] 人이苟히將來無盡ᄒᆞᆫ理想이眼으로써前途의光景을憶
[col 15] 想ᄒᆞᆯ時에現在의我보다도보다大ᄒᆞ며보다强ᄒᆞ며보다
[col 16] 偉ᄒᆞ며보다高ᄒᆞᆫ者ㅣ我의前途에立ᄒᆞ야我를彼岸에登ᄒᆞ
