# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 敎理部
[col 02] 엇다ᄒᆞ니孔子匡人에囹[?]의泰然히琴을彈ᄒᆞᆷ이라
[col 03] 엿슴스니是何等의思想일가
[col 04] 大神師ㅣ임즉大邱에受刑ᄒᆞᆯ세天然히獄吏를召ᄒᆞ야淸
[col 05] 水을奉奠ᄒᆞ고默念良久에刑에就ᄒᆞ엿다ᄒᆞ니라뭇컨
[col 06] 대曰
[col 07] 大神師ㅣ刑을將臺에受ᄒᆞᆯ새再三敺을下ᄒᆞ되小許도斬
[col 08] 痕이無ᄒᆞᆫ지라監司以下ㅣ皆驚ᄒᆞ야所爲를不知ᄒᆞ더니
[col 09] 大神師ㅣ天然히獄卒의게謂ᄒᆞ야曰汝ㅣ淸水一器를吾
[col 10] 前에奉奠ᄒᆞ라ᄒᆞ고泰然히淸水卓前에默念良久ᄒᆞ더니
[col 11] 故ㅣ敺히淸水를撤ᄒᆞ라ᄒᆞ고ᄉᆞᆺ에天職을完ᄒᆞ엿노라ᄒᆞ고곳
[col 12] 刑에就ᄒᆞ니라
[col 13] 云思컨대古來ㅣ聖誓안이大神師와如ᄒᆞᆫ偉大ᄒᆞᆫ理想의天
[col 14] 地에는必히物質의外에心靈의偉力을信ᄒᆞ고此가永久不
[col 15] 滅ᄒᆞᆷ을覺ᄒᆞ얏슴으로일지니故로山岳이前에崩倒ᄒᆞ야
[col 16] 도靜然히不動ᄒᆞ는所以ㅣ盡此에原因ᄒᆞᆫ바일지로다
[col 17] 盖吾人의社會의占ᄒᆞ는位置如何ᄒᆞᆫ吾人이有ᄒᆞᆫ理
[col 18] 想의大小如何에依ᄒᆞ야一決되나니神來의理想에는實로
[col 19] 神ㅅᄒᆞᆫ바有ᄒᆞ며人으로善을慕ᄒᆞᄆᆡ心
[col 20] 을愛ᄒᆞᄆᆡ至ᄒᆞ며高潔ᄒᆞᆫ바有ᄒᆞ나니大ᄒᆞ다理想이여
[col 21] 吾이技에至ᄒᆞ면吾人은如何ᄒᆞᆫ理想下에서一生을送ᄒᆞᆯ가
