# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 署史及敎理
[col 02] 三十日에大神師ㅣ又說法ᄒᆞ실새히與此의辭로서曉喩
[col 03] ᄒᆞ야曰
[col 04] 靜云伐柯々々ᄒᆞ니、其則不遠이라너암에보는일이어
[col 05] 긔바든업지만은、아는都是사람이오、不在於近이로다
[col 06] 目前之事쉬이알고、心量어서ᄒᆞ다가서、未來之事不美
[col 07] ᄒᆞ면그아니恨일넌가、이럼으로世上일이難知而有易
[col 08] ᄒᆞ고易知而難測인줄깨닷고、明朗한이運數
[col 09] ㅣ눈엇든사람지라ᄒᆞ야고、엇든사람은이러ᄒᆞᆫ가、이리村度저
[col 10] 리村度、各々命運分明ᄒᆞ다、疑訝잇는그사람은、天高
[col 11] 顯卑其文字를、窮思賾得ᄒᆞ야、저所謂賾理라고、生
[col 12] 發ᄒᆞ니그일인새、一邊은巧妙ᄒᆞ고、一邊은虛僞러워、한
[col 13] 술령이놉흐시나、聰卑文字깃을내여만은비록아니ᄒᆞ
[col 14] 나、心事를속여내여、이운數、어더울가、着名이나ᄒᆞ여
[col 15] 불가、모든製蠶誘引ᄒᆞ야欣然對接ᄒᆞ는드다、아서라저
[col 16] 사람은、네가비록略邪ᄒᆞ나한림도울을소나、其中에
[col 17] 沒覺者는朝夕之供잇지만은얻은것을求해가며溫飽之
[col 18] 供着實ᄒᆞ야、所謂通情ᄒᆞ는말이運速應ᄒᆞ리道德、
