# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section_running] 讀者文壇
[col 02] 會問題니라社會不不이變結ᄒᆞᆫ千古
[col 03] 怨恨이엇다吾人은이社會問題를論
[col 04] 評ᄒᆞᆯ際마다某哲의作ᄒᆞᆫ棄兒行에萬斛
[col 05] 의淚를揮치안임을잇지못ᄒᆞ노라棄兒
[col 06] 行에曰
[col 07] 斯身飢斯兒不育
[col 08] 斯兒不棄斯身飢
[col 09] 人間恩愛斯心迷
[col 10] 後棄兒面多苦思
[col 11] 兒兮有命此心知
[col 12] 欲去不忍別離悲
[col 13] 殘月一聲杜鵑啼
[col 14] 叢!取키는易ᄒᆞ되捨키는難ᄒᆞ니라
[col 15] 橋畔乍瞥行人語
[col 16] 焦心頻屬良家救
[col 17] 兒兮無命作黃泉
[col 18] 哀愛不禁無情淚
[col 19] 捨是耶不捨非耶
[col 20] 斯身飢斯兒不育
[col 21] 利도取ᄒᆞ고義를捨ᄒᆞᆷ은一小人의事
[col 22] 인더身을殺ᄒᆞ야仁을爲ᄒᆞ고生을捨
[col 23] ᄒᆞ야義를取ᄒᆞᆷ은仁人君子아말로得ᄒᆞ
[col 24] ᄂᆞᆫ바이라弊履를捨ᄒᆞᆷ은누구든지
[col 25] 可能의事니라喧嘩口論의餘一捨詞
[col 26] ᄂᆞᆫ吐ᄒᆞᆷ은또ᄒᆞᆫ常人의事니라然이
[col 27] 아爲ᄒᆞᆯ者니라[?]
[col 28] 나엇든動機에因ᄒᆞ야身을
[col 29] ᄂᆞᆫ가捨ᄒᆞᆷ가장難ᄒᆞᆫ事
[col 30] 捨ᄒᆞᆷ
