# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section_running] 敎理
[col 02] 安過ᄒᆞᆯ슈잇고父가費ᄒᆞ면子ㅣ不勞ᄒᆞ고도ᄯᅩᄒᆞᆫ
[col 03] 地位ᄅᆞᆯ保케되엿슴은過去現在에在ᄒᆞᆫ不合理의現象
[col 04] 이엇다그러나世界의翻覆은其을詐치안케되엿다
[col 05] 今日社會問題로써드는階級打破人道正義의主唱
[col 06] 은不勞自得者ᄅᆞᆯ打破ᄒᆞ자主唱ᄒᆞᆷ에서지닉지안이ᄒᆞᆷ
[col 07] 이니生覺컨댄今日以後는勞ᄒᆞᆫ後에야功이잇슬진뎌
[col 08] 其五
[col 09] 不忘其本ᄒᆞ여서라
[col 10] 今日世界의思想問題는一言으로弊ᄒᆞ면其本에歸
[col 11] ᄒᆞ자主唱ᄒᆞᆷ이엇다過去의人爲로지여노흔여러가
[col 12] 지不合理不徹底ᄒᆞᆫ組織을改繕ᄒᆞ야圓滿完全ᄒᆞᆫ
[col 13] 改造ᄅᆞᆯ實行코져ᄒᆞᆷ은도모지다人爲的으로된畸形
[col 14] ᄅᆞᆯ바리고天然自然의本되는平等牀로歸코져ᄒᆞᆷ이니
[col 15] ᄯᅩᄒᆞᆫ다其本ㅣ
[col 16] 其六(上소)
[col 17] 萬事ㅣ愛人의誠敬에在ᄒᆞ니라
[col 18] 萬事ㅣ다갓지自己의ᄆᆞᆷ에잇다말ᄒᆞᆷ이다一故의田이
[col 19] 라도耕치못ᄒᆞ면안이될것이오一尺의布도織지안
[col 20] ᄒᆞ면所用이업는것이다사람은다갓치[?]今日人類의
[col 21] [?]을[?]ᄒᆞᄂᆞᆫ[?][?][?][?][?][?][?]自己의誠
