# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 數理
[col 02] 州東村에生ᄒᆞ다
[col 03] 神師ㅣ五歲에慈母를失ᄒᆞ고十二歲에父喪을遭ᄒᆞ니單獨
[col 04] 一身이零丁孤苦ᄒᆞ야糊口沒策이일세東奔西雇朝看夕收身
[col 05] 에裾襤褸를不免ᄒᆞ고口에糟糠을不撤ᄒᆞ되形氣ㅣ粹美ᄒᆞ고
[col 06] 容止俊挺ᄒᆞ옴은衆人의耳目을惹ᄒᆞ더라
[col 07] 神師ㅣ十七歲에生活의困窮으로身을造紙所에投ᄒᆞ야僅
[col 08] 히生計를圖ᄒᆞ더니隣에吳氏女ㅣ早寡ᄒᆞ者有ᄒᆞ야家産이
[col 09] 頗히豐足ᄒᆞ더니神師의容貌偉大ᄒᆞ옴을見ᄒᆞ고媒妁을送ᄒᆞ
[col 10] 야婚姻을請ᄒᆞ더니神師ㅣ曰人에依ᄒᆞ야猝富ᄒᆞ이不祥의
[col 11] 祥이라ᄒᆞ고遂ㅣ不納ᄒᆞ다
[col 12] 歲甲寅에神師ㅣ興海로부터慶州朝谷에移居ᄒᆞ다坊人이
[col 13] 神師의公廉有威ᄒᆞ옴을見ᄒᆞ고衆望으로特薦ᄒᆞ야一坊風綱
[col 14] 의任을委ᄒᆞ온대神師在任六年에民隱을蠲除ᄒᆞ고人美를褒
[col 15] 彰ᄒᆞ야一坊이蒙利ᄒᆞ더니坊人이碑를立ᄒᆞ야紀念ᄒᆞ니라
[col 16] 辛酉에神師ㅣ道를大神師에게受ᄒᆞ다神師ㅣ道門에入
[col 17] ᄒᆞ야世人과營利를不謀ᄒᆞ고掩戶深坐ᄒᆞ야冥想克己의工
[col 18] 夫로或晝夜不寐ᄒᆞ고呪를誦ᄒᆞ더라
[col 19] 神師ㅣ常言曰吾ㅣ聞ᄒᆞ니萬工者ㅣ반다시天語를聽ᄒᆞ다
[col 20] ᄒᆞ니吾ㅣ誠力을致ᄒᆞ야天心을動ᄒᆞ리라ᄒᆞ고每日沐浴齋
[col 21] 戒ᄒᆞ고州壽山方巖谷에切祈三七日ᄒᆞ시니玉皇上帝ㅣ降臨
