# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p2l.txt

[title] 實行道德과倫理
[col 02] 幸福을目的으로함과副産物로하는
[col 03] 德과倫理의別이될지라此別을知치못하는故로彼別
[col 04] 을混合함이로다
[col 05] 實行道德이라함은倫理의一部分으로人과人과의
[col 06] 關係를生케하는것이나倫理는人과人과의間의道가아
[col 07] 니오人其者의道니라만일絶海孤島에다못一人의
[col 08] 獨棲者가잇다하자彼는何事를爲할지라도何人의게
[col 09] 든지迷惑을受할바업스며怨咎를受할바업스리라
[col 10] 如斯한境遇에在하야는實行道德이라云함은無意味니
[col 11] 己의欲하는바에從하야貪食貪食할지니라
[col 12] 彼는健康을害하든지懶惰하든지不道德이안타
[col 13] 彼는天地의間에다못一人으로自個의心의命令에從하
[col 14] 는것이오倫理즉最上의實行됨으로써
[col 15] 然이나一人이나倫理는不可不實行하나니倫理의上으로부하말하면
[col 16] 彼는一人이나懶惰함이不可하며努力치안함이不可
[col 17] 하며自個의精力을愛育치안함이不可하며自個의
[col 18] 境遇를少하야도向上케안함이不可하도다鳥의棲
[col 19] 하는一人이라도向上改良의狀態를爲에棲하는只一人의最
[col 20] 高生物을爲하야向上改良치안함이不可하니此를不
[col 21] 爲하면彼는自個의倫理에缺한者니라
[col 22] 如斯한境遇에만일實行道德을幸福이라하면倫理는
[col 23] 幸福以上의目的이될진더
