# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 雜俎
[author] 祖
[col 03] 登키不能ㅎ다
[col 04] 流에隨ㅎ야苔의細道를避ㅎ니
[col 05] 落花雨三點
[col 06] 新泥에ㅊ흐니
[col 07] 老鶯이倘히聲을弄ㅎ야
[col 08] 新ㅎ다
[col 09] 更히一步를進ㅎ니
[col 10] 溪가漸々開ㅎ야
[col 11] 竹이屋을繞ㅎ고
[col 12] 隙壁이苔蒼ㅎᆫ家가有ㅎ다
[col 13] 懃懃히情을陳ㅎ고
[col 14] 山下의道
[col 15] 를問ㅎ니
[col 16] 主翁이雪과如ㅎᆫ髯을撫ㅎ면서
[col 17] 在傍의草路
[col 18] 를指ㅎ니
[col 19] 是果然的詩境
[col 20] 一身이仙境에在ㅎᆫ感을不禁
[col 21] ㅎ엿노니
[col 22] 是去年의余의記念
[col 23] 十一
[col 24] 夜來의雨一漸霽ㅎ고
[col 25] 鳥影이窓을打ㅎ니
[col 26] 落花一임의庭
[col 27] 에滿ㅎ다
[col 28] 綠地芳草滿晴坡
[col 29] 春色都從雨裡過
[col 30] 知是人
[col 31] 家花落盡
[col 32] 「菜畦今日蝶多來」
[col 33] 是余過去其想
[col 34] 十二
[col 35] 十年間一의親友를有ㅎ되
[col 36] 互相惡聲을放치아니ㅎᆫ者一
[col 37] 有ㅎ면
[col 38] 其人은반다시何等長所가有ㅎ다
[col 39] 屢屢一友를
[col 40] 譽ㅎ는者는是相信치못ㅎᆫ小人배
[col 41] 十三
[col 42] 書畫讀書에모름직이書庫의東
[col 43] 壁이되되古者는終에古人의窠臼
[col 44] 에빠지되終에古人의眞白是不脫ㅎ노니
[col 45] 達識의士
[col 46] !
[col 47] 먼저此를打破ㅎ여야처음으로新見地에立ㅎ리라
