# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 自身의自体가自成ᄒᆞ엿다ᄒᆞᆷ과何異ᄒᆞ리
[col 03] 오果然四時變化ᄂᆞᆫ引力의關係로生ᄒᆞ고
[col 04] 吾人의享福도物質에싼止ᄒᆞ엿다ᄒᆞᆯ지라
[col 05] 도物質은何者로造織되며引力은何故로
[col 06] 生ᄒᆞᄂᆞᆫ지試究ᄒᆞ라物質과引力의根柢에
[col 07] ᄂᆞᆫ原因이有ᄒᆞ고原因의根柢에ᄂᆞᆫ又他原
[col 08] 因이有ᄒᆞ야其深遠ᄒᆞᆷ이奧妙不可思議的
[col 09] 神秘ᄅᆞᆯ抱含ᄒᆞ엿ᄂᆞ니此奧妙的不可思議
[col 10] ᄂᆞᆫ實로神의意匠이니라老氏曰有物混成
[col 11] ᄒᆞ야先天地生이라ᄒᆞ니此ᄂᆞᆫ无極에在ᄒᆞ야
[col 12] 絶代立ᄒᆞ의摠合的勢力을指ᄒᆞᆷ이니此絶
[col 13] 代的摠勢力은卽天主의神秘的萬素의ᄒᆞ
[col 14] 牝이니라此神迹原機가周行不已ᄒᆞ야一
[col 15] 大相對가出ᄒᆞ니是曰兩儀가互相感化ᄒᆞ
[col 16] 야無量數의相對가出ᄒᆞ니是曰万物이라
[col 17] 其運行ᄒᆞᄂᆞᆫ妙方은專혀大道[?]法ᄒᆞ고大
