# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[author] 敎理部
[col 02] 一章에論홈과如히絲粒의細微라도天主
[col 03] 意匠中潤澤之홈과며保之養之홈과雨露的
[col 04] 靈澤을食홈과눈바오次코無所爲的의是生
[col 05] 是成이아니어늘愚民은有가無로自홈을
[col 06] 不知홈고輒曰自然히生홈다홈다니是는
[col 07] 呼吸으로써生活홈만知홈고生活이空氣
[col 08] 로從홈을不知홈과如홈도다譬컨되人體
[col 09] 中血脈은近世生理學에依홈야一生의의
[col 10] 球라謂홈진듸數億万을超過홈는血球의
[col 11] 大象은人體를全地球로홈고吾人의個體
[col 12] 的意匠下에서吸氣中酸化作用에依홈야
[col 13] 其生活을營홈지로되血球自體는如何홈
[col 14] 意匠下에서如何홈保護를受홈을不知홈
[col 15] 고曰無爲라홈과恰似홈도다然則吾人은
[col 16] 神의意匠中血球를不知홈며不識홈는間
[col 17] 에神의保護를受홈는期間에萬一其計
