# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 自五帝之時聖人以生
[author] 李敦化
[col 03] 特히漢土의五帝를論ᄒᆞ심은何也오世界
[col 04] 最古道德的文明地ᄂᆞᆫ漢土也라漢土의五
[col 05] 帝ᄂᆞᆫ世界聖人의首也니五帝以前則民生
[col 06] 이自然에生ᄒᆞ며自然에長ᄒᆞ며自然에死
[col 07] ᄒᆞ야自然의樂을享ᄒᆞ니老氏所謂絶聖棄
[col 08] 智、民利百倍、絶仁棄義、民復孝慈、絶巧
[col 09] 棄利、盜賊無有(又曰大道廢而仁義出)
[col 10] 이라ᄒᆞ니此ᄂᆞᆫ五帝以前의生活狀態라故
[col 11] 로此를先天的天道敎時代라ᄒᆞᄂᆞ니厥後
[col 12] 로民生이葱葱에交際가頻繁ᄒᆞ고交際之
[col 13] 極에利害가出入ᄒᆞ고利害之末에競爭이
[col 14] 漸生ᄒᆞ니上帝是를憂ᄒᆞ사五帝를生ᄒᆞ야
[col 15] 天의無形的喉舌을代表케ᄒᆞ시니라
[col 16] 天地度數成出文券
