# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 敎理部
[col 02] 며成筭도無ᄒᆞ고無我夢中에必然的勝利를得
[col 03] ᄒᆞᆷ은엇지別故가有ᄒᆞ리오我를忘ᄒᆞ고一刹那
[col 04] 間에人性本源의無量神力이發現됨이로다
[col 05] (一)信ᄒᆞ는力何事던지人이淡信不疑
[col 06] ᄒᆞ고他에雜念을除去ᄒᆞ면此에서一種神通
[col 07] 力이發現되ᄂᆞ니其事實은古今에不少ᄒᆞ나
[col 08] 東西에現著ᄒᆞᆫ確例를一擧ᄒᆞ면獨國「메루
[col 09] 메스」가動物磁氣說을一唱ᄒᆞ야患者를治
[col 10] 療ᄒᆞᆯ時人이메루메쓰를神과如히信ᄒᆞ야
[col 11] 其門에治療를乞ᄒᆞ는者一月에數千人의
[col 12] 盛況을呈ᄒᆞ니複雜難雜에因ᄒᆞ야到底不能의境
[col 13] 을當ᄒᆞᆫ지라氏가一策을案出ᄒᆞ야門前의一
[col 14] 樹로써吾의治療部를定ᄒᆞ고此에磁器를通
[col 15] ᄒᆞ얏나니此樹에患部을一觸ᄒᆞ면卽時病이
[col 16] 愈ᄒᆞ다廣佈ᄒᆞ얏더라勿論其樹에磁氣를通
[col 17] ᄒᆞᆫ者도아니오又藥을塗ᄒᆞᆫ者도아니언마는
