# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 雜俎
[col 02] 的이니是가世人이月의夜는愛ᄒᆞ되星의夜
[col 03] 를不知ᄒᆞ눈所以로다
[col 04] 無月晴天의夜에妙高의臺上에登臨ᄒᆞ면天
[col 05] 下의星宿ㅣ盡皆眞面目을肉眼의前에發輝
[col 06] ᄒᆞ야來ᄒᆞᄂᆞ니宇宙의大ᄒᆞ며且遠ᄒᆞᆷ이自覺
[col 07] ᄒᆞ깃도다故로星의夜는月의夜에比ᄒᆞ면更
[col 08] 히宗敎的이오更히哲學的이오更히神秘的
[col 09] 이오更히詩的이니라
[col 10] 人은光을趁ᄒᆞ야奔ᄒᆞ눈者라盖暗黑을不希
[col 11] ᄒᆞ고光明을願ᄒᆞᆷ은多數生物의至情이니梅
[col 12] 花는南枝로브터先開ᄒᆞ야北枝에移ᄒᆞᄂᆞ니
[col 13] 日月星은天이人에與ᄒᆞᆫ光이나人은此自然
[col 14] 의光만滿足라ᄒᆞ리오人力의所作ᄒᆞᆫ光도亦進化의法則
[col 15] 螢의光에從ᄒᆞ야段段進化ᄒᆞᄂᆞ니行燈이不滿足ᄒᆞᆷ
[col 16] 으로란포에進化ᄒᆞ고란포도亦不滿足ᄒᆞᆷ으
